lang_level	child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
gümn	minut	NOUN	Par	Sing	trenn	NOUN	Par	Sing	minutit trenni	Selleks , et vähendada kehakaalu või ennetada paksuksminemist , on kõige õigem tegeleda mõõduka füüsilise aktiivsusega - kolmel korral nädalas 20 ___minutit___ ___trenni___ .	2215	105
gümn	minut	NOUN	Gen	Sing	möödumine	NOUN	Par	Sing	minuti möödumist	Enamasti jääme magama juba enne ___minuti___ ___möödumist___ ja hommikul ei mäleta , et oleksime olnud ärkvel .	2270	105
gümn	grupp	NOUN	Gen	Sing	olemas_olu	NOUN	Par	Sing	grupi olemasolu	Naer on sotsiaalne fenomen - naer eeldab dialoogi olemasolu , homogeense ___grupi___ ___olemasolu___ .	2380	22
gümn	hulk	NOUN	Nom	Sing	tähendus	NOUN	Par	Plur	hulk tähendusi	Eesti keeles on nii teenistusel kui ka talitusel ___hulk___ ___tähendusi___ : päevase töö palk on päevateenistus , sõjaväes olek - ajateenistus ; peetakse kombetalitusi ja kodus tehakse majatalitusi .	2454	45
gümn	liiter	NOUN	Par	Sing	kütus	NOUN	Par	Sing	liitrit kütust	Uus 4 , 7-liitrine bensiinimootor ( 288 hj ) töömahuga 4461 cm3 kulutab keskmiselt 10 ___liitrit___ ___kütust___ 100 km kohta .	2649	6
gümn	kroon	NOUN	Gen	Sing	maine	NOUN	Par	Sing	krooni mainet	Esiteks oleks see kahjustanud alles hiljuti kasutusele võetud ___krooni___ ___mainet___ rahva silmis .	2943	86
gümn	aasta	NOUN	Gen	Sing	majandus_kriis	NOUN	Par	Sing	aasta majanduskriisi	Pärast 1929. - 1933. ___aasta___ ___majanduskriisi___ hakati järjekindlalt suurendama kulla osatähtsust krooni kattevaras .	2945	906
gümn	nädal	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	nädal aega	Pärast taotluse vormistamist kulub andmete kontrollimiseks umbes ___nädal___ ___aega___ .	3055	225
gümn	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Politsei saabus sündmuskohale kella 13.40-ks , protokolli koostamine ja seletuste kuulamine lõppes alles kell 14.15 ning seetõttu jõudsin ma staadionile ___tund___ ___aega___ ettenähtust hiljem .	3169	555
gümn	enamik	NOUN	Nom	Sing	rahvas	NOUN	Par	Sing	Enamik rahvast	___Enamik___ ___rahvast___ näeb metsas suurepärast puhkamispaika , samuti on metsal suur roll loodus- ja keskkonnakaitses .	3193	42
gümn	enamik	NOUN	Par	Sing	toode	NOUN	Par	Plur	enamikku tooteid	Tänapäeva maailmas on teadus juba niikaugele arenenud , et ___enamikku___ puidust valmistatud ___tooteid___ saaks asendada teiste materjalidega .	3203	42
gümn	kilo	NOUN	Par	Sing	plast	NOUN	Par	Sing	kilo plasti	Edasi : kui oletada , et korduvkasutusega plastkuuse valmistamiseks kulub umbes viis ___kilo___ ___plasti___ , on selle valmistamiseks vajalik energiahulk võrdne 40 kilos puidus olevaga .	3271	23
gümn	hulk	NOUN	Nom	Sing	kütus	NOUN	Par	Sing	hulk kütust	Enamasti pärinevad plastkuused Taiwanilt või Hiinast , mis tähendab , et nende Eestisse toomiseks kulub veel üüratu ___hulk___ ___kütust___ transpordile .	3275	45
gümn	osa	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	osa inimesi	Nõnda peab ___osa___ ___inimesi___ mõistlikumaks ehtida jõuludeks eluskuusk koduaias või oma maakodus akna taga .	3286	236
gümn	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Lühim kihlusaeg võis olla ___kuu___ ___aega___ .	3501	156
gümn	hulk	NOUN	Nom	Sing	harrastus_teate	NOUN	Par	Plur	hulk harrastusteatreid	Praegu on Eestis 12 riiklikku teatrit , ___hulk___ ___harrastusteatreid___ ning mõned iseseisvad ja isemajandavad trupid , nagu Von Krahh teater Tallinnas ( asutatud 1992 ) .	3677	45
gümn	enamik	NOUN	Nom	Sing	poiss	NOUN	Par	Plur	Enamik poisse	___Enamik___ ___poisse___ on nooruses midagi pihta pannud või õunaraksus käinud , andmata endale aru , et tegemist on kriminaalkuriteoga .	3788	42
gümn	kogu	NOUN	Nom	Plur	mõte	NOUN	Par	Plur	kogud mõtteid	Seal siis tegeled enesepuhastamisega , ___kogud___ ___mõtteid___ .	3957	8
gümn	hulk	NOUN	Nom	Sing	kontsert	NOUN	Par	Plur	hulk kontserte	Festivali raames leiab aset ___hulk___ ___kontserte___ linnas ja maakonnas , samuti päevased pargikontserdid kesklinnas .	4025	45
gümn	aasta	NOUN	Gen	Plur	osa	NOUN	Par	Sing	aastate osa	Ainulaadsest Suupillifestivalist Baltic-Nordic Harmonica on läbi ___aastate___ ___osa___ võtnud suupillimängijad Põhja- ja Baltimaadest , samuti Saksamaalt , Austriast , Hollandist , Inglismaalt ja Prantsusmaalt .	4031	906
gümn	enamik	NOUN	Nom	Sing	laul	NOUN	Par	Plur	Enamik laule	___Enamik___ ___laule___ on pärast seda ingliskeelsed .	4174	42
gümn	enamik	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	enamik inimesi	Arvan , et ___enamik___ ___inimesi___ ei käi kirikus selleks , et jutlust kuulata , palvetada või pihtida .	4338	42
gümn	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Minu Hispaanias elav tuttav ei saanud ___tükk___ ___aega___ aru , mida see SMS-parkimine endast kujutab .	4498	30
gümn	enamik	NOUN	Nom	Sing	noor	NOUN	Par	Plur	enamik noori	Mulle ei meeldi , et ___enamik___ ___noori___ kannab igas seltskonnas ja üritusel teksaseid .	4523	42
kl2	sent	NOUN	Par	Sing	kilo	NOUN	Par	Sing	senti kilo	Nelikümmend ___senti___ ___kilo___ .	6089	20
kl2	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Aga oleme õues ainult ___tund___ ___aega___ .	6590	555
kl3	klass	NOUN	Gen	Sing	õpilane	NOUN	Par	Plur	klassi õpilasi	Koolis hakkame sel aastal aitama esimese ___klassi___ ___õpilasi___ .	8535	502
kl3	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Me sõitsime autoga ___tund___ ___aega___ .	8683	555
kl3	tükk	NOUN	Par	Sing	kringel	NOUN	Par	Sing	tükki kringlit	Laupäeval sõid sa Birgiti sünnipäeval mitu ___tükki___ ___kringlit___ , eile aga jäätist ja kommi .	9271	30
kl3	tükk	NOUN	Par	Sing	kringel	NOUN	Par	Sing	tükki kringlit	Pühapäeval sõi Piia mitu ___tükki___ ___kringlit___ .	9291	30
kl3	tükk	NOUN	Nom	Sing	aja_lugu	NOUN	Par	Sing	tükk ajalugu	Antiigipoes võivad mõned asjad olla väga kallid , sest need on nagu väike ___tükk___ ___ajalugu___ .	9628	30
kl3	klass	NOUN	Gen	Sing	õpilane	NOUN	Par	Plur	klassi õpilasi	Lilli ütles , et talle meeldis kõige rohkem see , kui me aitasime esimese ___klassi___ ___õpilasi___ .	9732	502
kl3	klass	NOUN	Gen	Sing	õpilane	NOUN	Par	Plur	klassi õpilasi	Lillile meeldis teise ___klassi___ ___õpilasi___ aidata .	9746	502
kl4	kord	NOUN	Par	Sing	vana_isa	NOUN	Par	Sing	korda vanaisa	Samal ajal elas ka üks vanavanavana - ja veel mitu tuhat ___korda___ ___vanaisa___ .	9875	411
kl4	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Mul on üks ___tund___ ___aega___ .	10542	555
kl4	tund	NOUN	Gen	Sing	kitar	NOUN	Par	Sing	tunni kitarri	Igal laupäeval ma mängin kaks tundi klaverit ja ühe ___tunni___ ___kitarri___ .	11241	555
kl5	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Teele , ma unistan juba ___tükk___ ___aega___ sellest , et kinno üht koertefilmi vaatama minna !	11956	30
kl5	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Ma olin juba ___tükk___ ___aega___ uuest rattast unistanud .	12044	30
kl5	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Ema vastas , et nüüd ei saa ma vähemalt ___kuu___ ___aega___ trenni minna .	12219	156
kl5	klass	NOUN	Gen	Sing	õpilane	NOUN	Par	Sing	klassi õpilast	Aktusejuhid olid kaks 4. ___klassi___ ___õpilast___ .	12402	502
kl5	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Äkki siis ainult ___kuu___ ___aega___ ?	12549	156
kl5	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Kokkuvõttes arvasid vanemad , et ma olen vahetusprogrammi jaoks liiga noor , et ___kuu___ ___aega___ on liiga pikk aeg ning et kõigepealt peaksin sellest rääkima õpetajaga .	12563	156
kl5	aasta	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	aasta aega	Näiteks oleks väga põnev ___aasta___ ___aega___ Ameerikas õppida !	12715	906
kl5	minut	NOUN	Par	Sing	aeg	NOUN	Par	Sing	minutit aega	Kui ma kella vaatasin , oli esimese tunni alguseni ainult neli ___minutit___ ___aega___ !	12723	105
kl5	tund	NOUN	Par	Sing	aeg	NOUN	Par	Sing	tundi aega	Aga Teelel võtab juba kooliminek pool ___tundi___ ___aega___ !	12862	555
kl5	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Ometi ei ole see nii tähtis , sest sellise kodu nimel olen ma nõus iga päev ___tund___ ___aega___ bussis olema , et kooli , koju või trenni sõita .	13135	555
kl5	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Me valisime klassiekskursiooni jaoks sobivat kohta ___tükk___ ___aega___ .	13448	30
kl5	klass	NOUN	Gen	Plur	abi	NOUN	Par	Sing	klasside abi	Selle ja järgmise nädala jooksul palub koolivormi meeskond kõikide ___klasside___ ___abi___ .	13835	502
kl5	klass	NOUN	Gen	Plur	kokku_võte	NOUN	Par	Plur	klasside kokkuvõtteid	Järgmise nädala reedel ootab koolivormi meeskond ___klasside___ ___kokkuvõtteid___ .	13836	502
kl5	klass	NOUN	Gen	Sing	õpilane	NOUN	Par	Sing	klassi õpilast	Oleme kaks 9. ___klassi___ ___õpilast___ Doris ja Ervin ning oleme matemaatikahuvilised .	13976	502
kl5	päev	NOUN	Par	Sing	saade	NOUN	Par	Sing	päeva saadet	Ja nüüd , kolm ___päeva___ pärast ___saadet___ , on kõik plakatid näitusel üleval .	14080	741
kl5	osa	NOUN	Gen	Sing	lugemine	NOUN	Par	Sing	osa lugemist	Pärast ühe ___osa___ ___lugemist___ mõtle läbi , kas selles lõigus oli sinu jaoks midagi tähtsat või mitte .	14396	236
kl5	kraad	NOUN	Par	Sing	soe	NOUN	Par	Sing	kraadi sooja	Päeval on 5 – 8 ___kraadi___ ___sooja___ .	14413	29
kl5	minut	NOUN	Par	Sing	aeg	NOUN	Par	Sing	minutit aega	Igal õpilasel on viis ___minutit___ ___aega___ , et rääkida , kuidas ta oma tööd tegi , millest töö on ja mida uut ta teada sai .	14566	105
kl5	tund	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tund aega	Enne kui ma voodist üles tõusen , olen ___tund___ ___aega___ telefonis .	14749	555
kl5	klass	NOUN	Gen	Sing	tegevus	NOUN	Par	Sing	klassi tegevust	Laura ___klassi___ kolm ___tegevust___ olid õunte söömine , jalgrattaga sõitmine ja filmide vaatamine .	14849	502
kl5	kogus	NOUN	Gen	Sing	kapsas	NOUN	Par	Sing	koguse kapsast	Seepärast läks memme isa aita väikese kirvega ja raius kapsatünnist paraja ___koguse___ ___kapsast___ , mida soojendada !	15137	6
kl5	minut	NOUN	Par	Sing	aeg	NOUN	Par	Sing	minutit aega	Nüüd on teil viis ___minutit___ ___aega___ , et see uudis , mille juures te seisate , läbi lugeda .	15228	105
kl6	aasta	NOUN	Gen	Sing	lõpp	NOUN	Par	Sing	aasta lõppu	Head vana ___aasta___ ___lõppu___ !	15934	906
kl7	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Täiesti uus , alles ___kuu___ ___aega___ tagasi sain selle sünnipäevaks .	17427	156
kl7	nädal	NOUN	Gen	Plur	viis	NOUN	Par	Sing	nädalate viisi	Sääraseid aga , kes halbade kavatsustega metsa hulkuma tulid , näiteks metsavargad , salakütid või röövlid , eksitas metsarahvas sügavasse laande , kus nad siis ___nädalate___ ___viisi___ näljast nõrkedes tulutult väljapääsu otsisid või viimaks hoopistükkis huntide ja karude saagiks langesid .	17597	225
kl7	euro	NOUN	Par	Sing	sent	NOUN	Par	Sing	eurot senti	Arve prügiveo eest oli detsembris 6 eurot 40 senti , kütte eest 57 ___eurot___ 80 ___senti___ .	17870	108
kl7	pakk	NOUN	Nom	Sing	kartuli_krõps	NOUN	Par	Sing	pakk kartulikrõpse	Samas märkan lähenevat sõbrannat , käes Sprite’i - pudel ja suur ___pakk___ ___kartulikrõpse___ .	18460	18
kl8	aasta	NOUN	Gen	Sing	sekund	NOUN	Par	Plur	aasta sekundeid	Mul on selline tunne , nagu oleks aastavahetus ja meie loeme vana ___aasta___ viimaseid ___sekundeid___ .	19057	906
kl8	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Jaa , palun , Maria , sul on juba ___tükk___ ___aega___ käsi püsti .	19485	30
kl8	hunnik	NOUN	Gen	Sing	harjutus	NOUN	Par	Plur	hunniku harjutusi	Esimesed soojendusharjutused ning siit pärast seda me läheme keskele , teeme seal igavese ___hunniku___ ___harjutusi___ .	20430	1
kl8	tund	NOUN	Nom	Sing	algus	NOUN	Par	Sing	tund algust	Üks ___tund___ enne esimese seansi ___algust___ .	20879	555
kl8	tilk	NOUN	Par	Sing	vesi	NOUN	Par	Sing	tilka vett	Kas sa tead kedagi , kes on sarnased nagu kaks ___tilka___ ___vett___ ?	20951	2
kl8	liik	NOUN	Par	Sing	seen	NOUN	Par	Plur	liiki seeni	Eestis leidub 3500 ___liiki___ ___seeni___ .	21572	49
kl9	osa	NOUN	Nom	Sing	poiss	NOUN	Par	Plur	Osa poisse	___Osa___ ___poisse___ ja tüdrukuid on isegi maadlusvõistlustel käinud .	21649	236
kl9	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Ta on sellest juba ___tükk___ ___aega___ unistanud , aga kunagi pole aega olnud .	22429	30
kl9	maa	NOUN	Gen	Sing	harimine	NOUN	Par	Sing	maa harimist	Oma kõnedeski õpetas Jakobson põllumehi hindama ___maa___ ___harimist___ ja väetamist , põlluheina kasvatamist , korralike õhurikaste lautade ehitamist , tõukarja ja mesilaste pidamist , juustu valmistamist , aiandust .	22450	202
kl9	tõug	NOUN	Gen	Sing	kana	NOUN	Par	Plur	tõugu kanu	Majapidamises oli eri ___tõugu___ ___kanu___ , parte , hanesid .	22458	3
kl9	liik	NOUN	Gen	Sing	seen	NOUN	Par	Plur	liigi seeni	Kõikjal metsades kasvab üle 300 ___liigi___ ___seeni___ , nende hulgas on tuntud söögiseeni umbes 100 liiki .	22793	49
kl9	aasta	NOUN	Par	Sing	võõr_keel	NOUN	Par	Sing	aastat võõrkeelt	Mitmendat aastat sa õpid eesti keelt , mitmendat ___aastat___ mõnd muud ___võõrkeelt___ ?	22911	906
kl9	tükk	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	tükk aega	Otsisime ___tükk___ ___aega___ malenuppe .	23311	30
kl9	päev	NOUN	Par	Sing	aeg	NOUN	Par	Sing	päeva aega	Peoni on veel mitu ___päeva___ ___aega___ .	23672	741
gümn	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Me arutasime seda programmi perega ja kuigi alguses olin kahevahel , otsustasime , et mõistlik on osaleda ja teha taotlus ___kuu___ ___aega___ enne õpilasvahetuse algust .	24073	156
gümn	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Ma ei pannud tähelegi , kui ___kuu___ ___aega___ oli linnulennul möödunud .	24126	156
gümn	kuu	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	kuu aega	Nii kahju oli , et ___kuu___ ___aega___ nii ruttu möödus .	24132	156
gümn	summa	NOUN	Nom	Sing	raha	NOUN	Par	Sing	summa raha	Stanislavil oli kaasas päris korralik ___summa___ ___raha___ .	24307	22
gümn	enamus	NOUN	Nom	Sing	õpilane	NOUN	Par	Plur	enamus õpilasi	Nagu uuringust näha , külastab valdav ___enamus___ ( 83% ) ___õpilasi___ internetti nutitelefoni kaudu .	24434	5
gümn	sari	NOUN	Gen	Sing	tegelane	NOUN	Par	Sing	sarja tegelast	Võrdle kaht ___sarja___ ___tegelast___ : mille poolest nad sarnanevad ja mille poolest erinevad ?	24752	19
gümn	nädal	NOUN	Par	Sing	vahe_aeg	NOUN	Par	Sing	nädalat vaheaega	Kooliaasta lõpeb märtsi keskel ja enne uue õppeaasta algust on kaks ___nädalat___ ___vaheaega___ .	24856	225
gümn	kuu	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	kuu aega	Meil oli ___kuu___ ___aega___ enne tagasitulekut aastalõpuseminar YFU-ga .	24876	156
gümn	arv	NOUN	Gen	Sing	suurendamine	NOUN	Par	Sing	arvu suurendamist	Ehk tuleks kaaluda gümnaasiumis praktiliste tundide ___arvu___ ___suurendamist___ .	25496	39
gümn	tund	NOUN	Gen	Plur	arv	NOUN	Par	Sing	tundide arvu	Mõttekas on suurendada gümnaasiumis praktiliste ___tundide___ ___arvu___ .	25498	555
gümn	tund	NOUN	Gen	Plur	arv	NOUN	Par	Sing	tundide arvu	Hea oleks suurendada gümnaasiumis praktiliste ___tundide___ ___arvu___ .	25499	555
gümn	enamik	NOUN	Nom	Sing	kiri	NOUN	Par	Plur	Enamik kirju	___Enamik___ ___kirju___ saadetakse tänapäeval meiliga .	25925	42
gümn	maa	NOUN	Gen	Plur	saavutus	NOUN	Par	Plur	maid saavutusi	Kui eesti tudengite üks läbi ajaloo silmapaistva ___maid___ ___saavutusi___ oli kosmose meelevalda jäetud , saabus mõne tunni pikkune hingetõmbeaeg .	26064	202
gümn	klass	NOUN	Gen	Plur	õpilane	NOUN	Par	Plur	klasside õpilasi	Tihti rakendati vanemate ___klasside___ ___õpilasi___ nooremaid abistama .	26475	502
gümn	lehe_külg	NOUN	Par	Sing	sõna	NOUN	Par	Plur	lehekülge sõnu	Vahel tuleb 1 lehekülje teksti kohta 2 ___lehekülge___ ___sõnu___ .	26638	42
gümn	osa	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	Osa inimesi	___Osa___ ___inimesi___ mõtleb teistmoodi kui need tüdrukud .	27004	236
gümn	põlvkond	NOUN	Nom	Sing	eestlane	NOUN	Par	Plur	põlvkond eestlasi	Ju on vist õige seegi , et juba terve ___põlvkond___ ___eestlasi___ tunneb elu ja maailma mitte niivõrd oma kogemuse , kui telerist nähtu kaudu .	27056	7
gümn	enamik	NOUN	Nom	Sing	rahvas	NOUN	Par	Plur	enamik rahvaid	Nagu ___enamik___ teisigi ___rahvaid___ erinevates ilmakaartes .	27057	42
gümn	osa	NOUN	Nom	Sing	uuring	NOUN	Par	Plur	osa uuringuid	Seepärast pole ka midagi imestada , et suurem ___osa___ ___uuringuid___ näitab seost laste agressiivsuse ja telerivaatamise vahel .	27070	236
gümn	minut	NOUN	Gen	Sing	lemmik_meloodia	NOUN	Par	Plur	minuti lemmikmeloodiaid	Piisab , kui kassetil on umbes 20 ___minuti___ jagu sinu ___lemmikmeloodiaid___ .	27647	105
gümn	süle_täis	NOUN	Gen	Sing	daalia	NOUN	Par	Plur	sületäie daaliaid	Ükskord tõid kaks tuttavat noormeest mulle tohutu ___sületäie___ kollaseid ja punaseid ___daaliaid___ .	27775	2
gümn	hulk	NOUN	Nom	Sing	joonistus	NOUN	Par	Plur	hulk joonistusi	Kunsttööstuskooli päevist on Wiiraltist järele jäänud ___hulk___ ___joonistusi___ ja visandeid .	27880	45
gümn	rida	NOUN	Par	Sing	luule	NOUN	Par	Sing	rida luulet	Mina olen ennekõike võroke ja alles siis eestlane ja ma ei kirjuta põhimõtteliselt ühtegi ___rida___ ___luulet___ eesti keeles .	27979	42
gümn	tass	NOUN	Gen	Sing	kohv	NOUN	Par	Sing	tassi kohvi	Ma joon ___tassi___ ___kohvi___ .	28811	8
gümn	hulk	NOUN	Nom	Sing	kõrval_hoon	NOUN	Par	Plur	hulk kõrvalhooneid	Suur ___hulk___ stiilseid ___kõrvalhooneid___ ja kaunis park koos rajatistega pärinevad 19. sajandist .	29268	45
gümn	hulk	NOUN	Nom	Sing	pargi_paviljone	NOUN	Par	Plur	hulk pargipaviljone	Peahoone taga laiuvas mitme tiigiga pargis asub ___hulk___ ___pargipaviljone___ .	29269	45
gümn	hulk	NOUN	Nom	Sing	mööbel	NOUN	Par	Sing	hulk mööblit	Maja sisustas perenaine ning sinna mahtus tohutu ___hulk___ ___mööblit___ .	29356	45
gümn	hulk	NOUN	Nom	Sing	külalis+te_tuba	NOUN	Par	Plur	hulk külalistetubasid	Eramu ühes tiivas on ___hulk___ ___külalistetubasid___ ühe- või kaheinimesevooditega ja tualettruumid .	29359	45
gümn	osa	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	Osa inimesi	___Osa___ ___inimesi___ eelistab täiesti tühja korterit , kuid noored üürnikud eelistavad sellist , kus mööbel ja kodutehnika on olemas .	29383	236
gümn	aasta	NOUN	Gen	Sing	tiitel	NOUN	Par	Sing	Aasta tiitlit	___Aasta___ Isa ___tiitlit___ annab välja Eesti Naisliit , üle antakse see Estonia kontserdisaalis .	29992	906
gümn	osa	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	osa aega	Paljud üliõpilased õpivad ___osa___ ___aega___ välismaal , saades lisaks heale hariduslikule pagasile palju uusi sõpru , hindamatu kogemuse ja hädavajalikud oskused tulevikus läbilöömiseks .	30106	236
gümn	tund	NOUN	Gen	Plur	viis	NOUN	Par	Sing	tundide viisi	Üks loeb teksti korra läbi , ja kõik on selge , teine aga peab vaeva nägema ___tundide___ ___viisi___ , kuid saab ikkagi rahuldava .	30197	555
gümn	nädal	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	nädal aega	Õppige kontrolltööks või eksamiks ___nädal___ ___aega___ iga päev paar tundi .	30207	225
gümn	päev	NOUN	Nom	Sing	hindamine	NOUN	Par	Sing	päev hindamist	Kas teile meeldiks rohkem , kui iga ___päev___ ___hindamist___ üldse poleks , kuid iga veerandi lõpus oleksid arvestused ja eksamid ?	30256	741
gümn	enamik	NOUN	Nom	Sing	õpilane	NOUN	Par	Plur	Enamik õpilasi	___Enamik___ ___õpilasi___ õpib riiklikes koolides .	30472	42
gümn	aasta	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	aasta aega	Lisaks oli tal ka kogemus USAs toimunud ärialaselt võistluselt ning ___aasta___ ___aega___ oli ta raadiosaateid toimetanud .	30553	906
gümn	enamik	NOUN	Nom	Sing	spetsialist	NOUN	Par	Plur	Enamik spetsialiste	___Enamik___ ___spetsialiste___ tõstab Linuxi Windowsist ettepoole just usaldatavuse tõttu .	31104	42
gümn	hulk	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	hulk inimesi	Suur ___hulk___ ___inimesi___ ei kujuta endale elu ilma arvutita ette .	31148	45
gümn	tund	NOUN	Gen	Sing	jagu	NOUN	Par	Sing	tunni jagu	Mobiiltelefoniga on võimalik teha kvaliteetset filmi - telefoni mälukaart mahutab rohkem kui ___tunni___ ___jagu___ filmi .	31218	555
gümn	jagu	NOUN	Par	Sing	film	NOUN	Par	Sing	jagu filmi	Mobiiltelefoniga on võimalik teha kvaliteetset filmi - telefoni mälukaart mahutab rohkem kui tunni ___jagu___ ___filmi___ .	31218	5
gümn	tüüp	NOUN	Par	Sing	seade	NOUN	Par	Plur	tüüpi seadmeid	Jaapanis on kolme ___tüüpi___ 3G ___seadmeid___ - üks on lihtne terminal , teine on videotelefon ja kolmas on mõeldud peamiselt andmesidel põhinevate teenuste kasutamiseks .	31236	16
gümn	kilo	NOUN	Par	Sing	prügi	NOUN	Par	Sing	kilo prügi	Iga inimene toodab Eestis aastaga umbes 400 ___kilo___ ___prügi___ , millest 60 protsenti moodustavad pakendid .	31262	23
gümn	liik	NOUN	Gen	Sing	levik	NOUN	Par	Sing	liigi levikut	See on teaduslike andmete kogu , mis kajastab ___liigi___ ___levikut___ ja seisukorda koos ettepanekutega selle kaitseks .	31413	49
gümn	liik	NOUN	Gen	Plur	olu_kord	NOUN	Par	Sing	liikide olukorda	Looduseuurijad peavad kogu aeg jälgima ohustatud ja haruldaste ___liikide___ ___olukorda___ ja kandma uued andmed punasesse raamatusse .	31415	49
