child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
stiil	NOUN	Ine	Sing	park	NOUN	Ine	Sing	stiilis pargis	Romantilised sillakesed inglise ___stiilis___ ___pargis___ , mõisa peahoone ja kõrvalhooned moodustavad maalilise kompleksi .	1581	38
park	NOUN	Ela	Sing	hoone	NOUN	All	Sing	pargist hoonele	Kontserdipaika jõudnud , seisime mõne minuti täiesti keeletuna - vaade , mis ___pargist___ ___hoonele___ avanes , oli vapustav .	1649	75
faas	NOUN	Ine	Plur	sünd	NOUN	Ela	Sing	faasides sünnist	Põneva päeva saab veeta Vigelandi pargis , kus on imetlemiseks väljas 200 suurt skulptuuri , mis väljendavad kunstnik Gustav Vigelandi visiooni inimese elust kõigis selle ___faasides___ ___sünnist___ surmani .	1665	9
auto	NOUN	Ine	Plur	kasutamine	NOUN	Tra	Sing	autodes kasutamiseks	Ümmarguse LCD-ekraani läbimõõt on 62 millimeetrit ja see on mõeldud ___autodes___ või mobiiltelefonides ___kasutamiseks___ .	1772	196
vastu_võtt	NOUN	All	Sing	soovija	NOUN	Ela	Plur	vastuvõtule soovijatest	Juba kahekümneviiesed istuvad kabineti ukse taga , neid on peaaegu viiendik kardioloogi ___vastuvõtule___ ___soovijatest___ .	1945	23
haige_palatis	NOUN	Ine	Sing	kabinet	NOUN	Ine	Sing	Haigepalatis kabinetis	___Haigepalatis___ ja polikliiniku ___kabinetis___ tuleb need lihtsalt kaubaks vormistada .	1961	1
töö	NOUN	Ela	Sing	vaimustus	NOUN	Ine	Sing	tööst vaimustuses	Patsient oli noore hambaarsti ___tööst___ ___vaimustuses___ .	2060	552
päeva_kava	NOUN	Ine	Sing	koht	NOUN	Ade	Sing	päevakavas kohal	Söömine on inimese ___päevakavas___ tähtsal ___kohal___ .	2141	4
toit	NOUN	Ine	Sing	kuju	NOUN	Ade	Sing	toidus kujul	Raud sisaldub loomses ja taimses ___toidus___ erineval ___kujul___ , mistõttu on ka imendumine erinev .	2210	179
kaalulangus	NOUN	All	Sing	säilitamine	NOUN	All	Sing	kaalulangusele säilitamisele	Väga oluline on ka see , et kehalise aktiivsuse mõju ___kaalulangusele___ või normkaalu ___säilitamisele___ on palju pikema positiivse mõjuga kui söömispiirangute mõju .	2217	1
vald	NOUN	Ine	Sing	küla	NOUN	Ine	Sing	vallas külas	Siinsamas , Uuemõisa ___vallas___ Muri ___külas___ , sündis 7. novembril 1911 luuletaja , prosaist ja publitsist Aira Kaal .	2610	11
vesiniku_toide	NOUN	Ade	Sing	jõuse_adment	NOUN	Ela	Sing	vesinikutoitel jõuseadmest	Chrysler ecoVoyageri hübriidne jõuseade koosneb aga samasugusest elektrimootorist ja 60-hobujõulisest kütuseelementidega ___vesinikutoitel___ ___jõuseadmest___ , mis laeb omakorda akusid .	2673	1
algaja	NOUN	Ade	Sing	kirjutaja	NOUN	Ade	Sing	algajal kirjutajal	Referaadi teema on tavaliselt ette antud ja ___algajal___ ___kirjutajal___ ei ole teema kohta oma arvamust .	2958	8
laenamine	NOUN	Ade	Sing	esma_järg	NOUN	Ine	Sing	laenamisel esmajärgus	Eraisikutena lähtume ___laenamisel___ ___esmajärgus___ sellest , milline on meie igakuine sissetulek ja laenu tagasimaksevõime .	3029	7
puies_tee	NOUN	Ade	Sing	autoavarii	NOUN	Ill	Sing	puiesteel autoavariisse	Palun mind , Aleksander Rõõmust , 2012. aasta 26. mai matsile hilinemise pärast mitte karistada , sest sattusin kell 13.28 staadionile sõites Riiu ___puiesteel___ ___autoavariisse___ , mille põhjustas kõrvalteelt mulle ette sõitnud alkoholijoobes juht .	3168	5
hüüdja	NOUN	Tra	Sing	hääl	NOUN	Tra	Sing	hüüdjaks hääleks	Olgugi et nad üldiselt metsa hingeeluga kõige paremini kursis on , jääb nende hääl ___hüüdjaks___ ___hääleks___ kõrbes .	3234	1
hääl	NOUN	Tra	Sing	kõrb	NOUN	Ine	Sing	hääleks kõrbes	Olgugi et nad üldiselt metsa hingeeluga kõige paremini kursis on , jääb nende hääl hüüdjaks ___hääleks___ ___kõrbes___ .	3234	65
kilo	NOUN	Ine	Sing	puit	NOUN	Ine	Sing	kilos puidus	Edasi : kui oletada , et korduvkasutusega plastkuuse valmistamiseks kulub umbes viis kilo plasti , on selle valmistamiseks vajalik energiahulk võrdne 40 ___kilos___ ___puidus___ olevaga .	3271	23
elus_kuusk	NOUN	Ine	Sing	kodu_aeg	NOUN	Ine	Sing	eluskuusk koduaias	Nõnda peab osa inimesi mõistlikumaks ehtida jõuludeks ___eluskuusk___ ___koduaias___ või oma maakodus akna taga .	3286	1
vastane	NOUN	Ine	Sing	võitlus	NOUN	Ine	Sing	vastases võitluses	Kliimamuutuste ___vastases___ ___võitluses___ on energiasektoril mängida võtmeroll , sest just nimelt energiasektoris on EL-is СО2 õhkupaiskamise vähendamine majanduslikult kõige taskukohasem ja vähendamise potentsiaal kõige suurem , seda iseäranis riikides , kus fossiilsete kütuste osakaal energiatootmises on ulatuslik , nagu Eesti .	3301	8
energia_sõltuvus	NOUN	Ela	Sing	vabanemine	NOUN	Tra	Sing	energiasõltuvusest vabanemiseks	Milliseid lahendusi pakutakse ___energiasõltuvusest___ ___vabanemiseks___ ?	3315	2
küsimus	NOUN	All	Plur	vastamine	NOUN	Tra	Sing	küsimustele vastamiseks	Arvestama peab ajaga , mis kulub ___küsimustele___ ___vastamiseks___ .	3321	193
enamik	NOUN	Ade	Sing	kaitse_ala	NOUN	Ela	Plur	enamikul kaitsealadest	Kuigi loomaliike eraldi kaitse alla ei võetud , oli ___enamikul___ ___kaitsealadest___ keelatud lindude hirmutamine ja jahipidamine .	3349	42
pruut	NOUN	Ade	Sing	kogumine	NOUN	Tra	Sing	pruudil kogumiseks	See aeg oli ___pruudil___ veimevaka ___kogumiseks___ ja mõlemale perele pulmade ettevalmistamiseks .	3490	6
elu	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	eluks ajaks	Mina arvan küll praegu , et ainult niisugune meheleminek jääb ___eluks___ ___ajaks___ meelde .	3522	372
kodu	NOUN	Ine	Sing	õu	NOUN	Ine	Sing	kodus õues	Ma ei usu , et nende lapsed peavad lasteaias käima , sest neil on ___kodus___ ___õues___ nii palju värsket õhku .	3630	714
ääre_linn	NOUN	Ine	Sing	õpilane	NOUN	Ade	Sing	äärelinnas õpilasel	Rassil , 17-aastasel ___äärelinnas___ üksi elaval eliitkooli ___õpilasel___ , on paar unistust .	3798	5
maa	NOUN	Ade	Sing	elamine	NOUN	Ela	Sing	maal elamisest	Lenna unistab siiani ___maal___ ___elamisest___ .	3989	202
põllu_serv	NOUN	Ade	Sing	ergutamine	NOUN	Tra	Sing	põlluserval ergutamiseks	Seda puhuti pidudel tantsuks , pulmarongi eesotsas , ___põlluserval___ väsinud tööliste ___ergutamiseks___ jne .	4062	1
söögiks	NOUN	Tra	Sing	jook	NOUN	Tra	Sing	söögiks- joogiks	Anna nõuandeid suviseks ___söögiks-___ ___joogiks___ .	4120	1
klaasi=ke	NOUN	Ela	Sing	vein	NOUN	Ela	Sing	klaasikesest veinist	Ilusa ilma ja toreda seltskonnaga ei ütleks ära ___klaasikesest___ jääkülmast ___veinist___ .	4122	1
keel	NOUN	Ine	Sing	keel	NOUN	Ine	Sing	keeles keeles	Hollandi 2006. aasta laul oli osalt inglise ___keeles___ , osalt väljamõeldud ___keeles___ .	4175	609
enamik	NOUN	Ade	Plur	kunstnik	NOUN	Ela	Plur	enamikel kunstnikest	Kuna Eestis tellimusi ei olnud , tuli temalgi , nagu ___enamikel___ ___kunstnikest___ , siiski võõrsil tööd jätkata .	4301	42
kuldlusika	NOUN	Ine	Sing	suu	NOUN	Ine	Sing	kuldlusikas suus	Keegi meist ei sünni ___kuldlusikas___ ___suus___ ja edukus pole taevatähtede poolt ette määratud , kuid ometigi kujuneb elus välja nii , et mõned jõuavad lähemale oma unistustele ning saavutavad oma eesmärke , samal ajal kui teised vaid unistavad sellest .	4800	1
pere	NOUN	Ela	Sing	laps	NOUN	Ade	Sing	perest lapsel	Edukuse võti on sinu iseloom ja seda on võimalik arendada nii rikkast kui ka vaesest ___perest___ ___lapsel___ .	4810	277
õpetaja	NOUN	All	Plur	meeldimine	NOUN	Tra	Sing	õpetajatele meeldimiseks	Minu esimene romaan oli rohkem ___õpetajatele___ ___meeldimiseks___ kirjutatud .	4854	475
formaat	NOUN	Ine	Sing	paber	NOUN	Ade	Sing	formaadis paberil	Olulisemad kirjalikud tööd ( uurimistööd , referaadid ) esitatakse A4 ___formaadis___ valgel ___paberil___ arvutikirjas suurusega 12 kirjapunkti , reavahega 1,5 .	4866	6
ameti_koht	NOUN	Ade	Sing	töötaja	NOUN	All	Sing	ametikohal töötajale	Et sellele küsimusele hästi vastata , tutvu kindlasti nõuetega , mida esitatakse sellel ___ametikohal___ ___töötajale___ .	4994	13
lume_memmes	NOUN	All	Sing	nina	NOUN	Tra	Sing	lumememmele ninaks	Mille paned sina ___lumememmele___ ___ninaks___ , suuks ja silmadeks ?	6521	5
natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Mine heida ___natukeseks___ ___ajaks___ pikali .	9321	4
töö	NOUN	Abl	Sing	kodu	NOUN	Add	Sing	töölt koju	Jõudsin just ___töölt___ ___koju___ .	9497	552
tund	NOUN	Ine	Sing	suve_plaan	NOUN	Ela	Plur	tunnis suveplaanidest	Veel rääkisime eesti keele ___tunnis___ ___suveplaanidest___ .	9750	555
hümn	NOUN	Ade	Sing	hümn	NOUN	Ade	Sing	hümnil hümnil	Eesti ___hümnil___ ja Soome ___hümnil___ on üks ja seesama helilooja , kuid erinevad luuletajad .	10150	9
esik	NOUN	Ela	Sing	vanni_tuba	NOUN	Add	Sing	Esikust vannituppa	___Esikust___ ___vannituppa___ .	10842	18
vanni_tuba	NOUN	Ela	Sing	köök	NOUN	Add	Sing	Vannitoast kööki	___Vannitoast___ ___kööki___ .	10843	19
laste_tuba	NOUN	Ela	Sing	elu_tuba	NOUN	Add	Sing	Lastetoast elutuppa	___Lastetoast___ ___elutuppa___ .	10845	4
nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Mu isa sõber tuli koos oma perega meile ___nädalaks___ ___ajaks___ külla !	11827	225
matemaatika_tund	NOUN	Ine	Sing	unistus	NOUN	Ela	Plur	matemaatikatunnis unistustest	Lapsed rääkisid klassijuhatajaga ___matemaatikatunnis___ ___unistustest___ .	11931	9
inimene	NOUN	Ade	Sing	unistamine	NOUN	Ela	Sing	inimesel unistamisest	Aga seda , kas ___inimesel___ ___unistamisest___ kasu on , teab vaid unistaja ise .	12002	1323
looma_arst	NOUN	Ela	Sing	vana_isa	NOUN	All	Sing	loomaarstist vanaisale	Epul on olnud palju lemmikloomi , sest neid sattus tema koju tänu loomaarmastajast emale ning ___loomaarstist___ ___vanaisale___ .	12090	9
vana_ema	NOUN	Ade	Sing	küla	NOUN	Ine	Sing	vanaemal külas	Kas sa käid ___vanaemal___ ___külas___ harva või tihti ?	12100	220
kuu	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	kuuks ajaks	See ei tule kõne allagi , et viienda klassi poiss läheb ___kuuks___ ___ajaks___ võõrasse perre elama , meie peres need asjad nii ei käi .	12580	156
nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Uus kool , uued klassikaaslased , uus kodu ___nädalaks___ ___ajaks___ .	12637	225
nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Seda kõike küll ___nädalaks___ ___ajaks___ , aga ikkagi !	12814	225
elu_tuba	NOUN	Ine	Sing	telekas	NOUN	Ine	Sing	elutoas telekas	Meil kodus toimub kogu aeg midagi : köögis mängib raadio , ___elutoas___ ___telekas___ , ema räägib telefoniga , isa räägib emaga , mina isaga , Germanil on sõbrad külas ja Tinki näub .	12821	21
tee	NOUN	All	Sing	pere	NOUN	Ine	Sing	Teele peres	___Teele___ ___peres___ on kõik teisiti : ema loeb , isa läheb õue trenni , Juhan on kuskil ära , Siki magab .	12823	203
koridor	NOUN	Ine	Plur	istumine	NOUN	Tra	Sing	koridorides istumiseks	Ruumi on palju , aga ___koridorides___ ___istumiseks___ pinke või toole ei ole .	12881	20
linn	NOUN	Ine	Sing	elamine	NOUN	Tra	Sing	Linnas elamiseks	___Linnas___ ___elamiseks___ peab vist tugev inimene olema .	12907	269
linn	NOUN	Ine	Sing	elamine	NOUN	Tra	Sing	linnas elamiseks	Miks Aleksandr ütles , et ___linnas___ ___elamiseks___ peab tugev olema ?	12924	269
hommik	NOUN	Ade	Sing	buss	NOUN	Ine	Sing	Hommikul bussis	___Hommikul___ ___bussis___ küll , seda tõesti .	12963	202
aia_maja	NOUN	Ine	Sing	päev	NOUN	Ade	Sing	aiamajas päeval	Kes tahab , saab ___aiamajas___ ___päeval___ magada !	13122	3
tütar	NOUN	All	Sing	algus	NOUN	Ine	Sing	tütrele alguses	Kuna me aga leppisime koolivormi meeskonnaga kokku , et ma ___tütrele___ ___alguses___ oma koolivormitööst ei räägi , siis temalt ma otseselt nõu ei küsinud .	13867	50
pere	NOUN	All	Sing	referaat	NOUN	Ela	Sing	perele referaadist	Õhtusöögi ajal rääkisin ___perele___ ___referaadist___ , mille pean koostama .	14277	277
nägu	NOUN	Ela	Sing	nägu	NOUN	Add	Sing	näost näkku	Mõne sõbraga suhtlen interneti teel rohkem kui ___näost___ ___näkku___ .	14725	47
kirik	NOUN	Ine	Sing	käimine	NOUN	Ela	Sing	kirikus käimisest	Siis tuli mulle meelde , et memm rääkis ___kirikus___ ___käimisest___ , panin ka selle kirja .	15084	82
keel	NOUN	Ine	Sing	päevik	NOUN	Ill	Sing	keeles päevikusse	Kirjuta iga päev eesti ___keeles___ ___päevikusse___ , mida toredat sa tegid .	15394	609
kesk_linn	NOUN	Ela	Sing	laulu_väljak	NOUN	All	Sing	kesklinnast lauluväljakule	Enne laulupidu on rongkäik , kus kõik lauljad ja tantsijad liiguvad ___kesklinnast___ ___lauluväljakule___ .	16947	23
vastla_päev	NOUN	Ela	Sing	päev	NOUN	Ade	Sing	Vastlapäevast päeval	___Vastlapäevast___ järgmisel ___päeval___ algab paast .	16963	19
kool	NOUN	Ine	Sing	teema	NOUN	Ade	Sing	koolis teemal	Järgmisel nädalal räägime ___koolis___ ___teemal___ tervislik toitumine .	17027	1013
suve_kodu	NOUN	Ill	Sing	valve_süsteem	NOUN	Add	Sing	suvekodusse valvesüsteemi	Me paigaldasime kööki suitsuanduri , aga ___suvekodusse___ ___valvesüsteemi___ .	17517	10
muusika_konkurss	NOUN	Ade	Sing	au_hind	NOUN	Tra	Sing	muusikakonkursil auhinnaks	Sain ___muusikakonkursil___ ___auhinnaks___ kandle .	17532	1
tervise_keskus	NOUN	Ine	Sing	käimine	NOUN	All	Sing	tervisekeskuses käimisele	Kino- ja teatripiletitele kulub perekonnal ühes kuus umbes 70 eurot , ___tervisekeskuses___ ___käimisele___ 45 eurot .	17871	7
laste_tuba	NOUN	Ine	Sing	puur	NOUN	Ine	Sing	lastetoas puuris	Papagoi elab ___lastetoas___ ___puuris___ .	17928	4
kohtamine	NOUN	All	Sing	minek	NOUN	Tra	Sing	Kohtamisele minekuks	___Kohtamisele___ ___minekuks___ peab ennast alati meikima .	18367	8
kohtamine	NOUN	All	Sing	minek	NOUN	Tra	Sing	Kohtamisele minekuks	___Kohtamisele___ ___minekuks___ ei pea ennast ilmtingimata meikima ja lõhnastama .	18368	8
kohtamine	NOUN	All	Sing	minemine	NOUN	Ade	Sing	kohtamisele minemisel	Noormees peaks ___kohtamisele___ ___minemisel___ ennast lõhnastama .	18369	8
rong_käik	NOUN	Ine	Sing	laulu_väljak	NOUN	All	Sing	rongkäigus lauluväljakule	Võib-olla näitaksingi ainult oma kooli lapsi , kuidas nad laulu- ja tantsupeoks valmistusid ja proove tegid , kuidas koos teiste peolistega ___rongkäigus___ ___lauluväljakule___ liikusid , kuidas laululaval laulsid ja staadionil tantsisid .	18396	13
ime_kaun	NOUN	Ine	Plur	rahva_riie	NOUN	Ine	Plur	imekaunites rahvariietes	Tänapäeval lauldakse nii isamaalisi kui ka täiesti uusi laule , tantsitakse nii ___imekaunites___ ___rahvariietes___ kui ka lõbusates kostüümides .	18415	5
kivi	NOUN	Ela	Sing	müür	NOUN	All	Sing	kivist müürile	Istume laiale ___kivist___ ___müürile___ ja mõne minutiga on joogil ja kartulikrõpsudel lõpp peal .	18463	32
nädal	NOUN	Ine	Sing	toit	NOUN	All	Sing	nädalas toidule	Slava , kui palju kulub teie peres ___nädalas___ ___toidule___ ?	18780	225
tubaka_vaba	NOUN	Ade	Sing	päev	NOUN	Ade	Sing	tubakavabal päeval	Autasustamine toimub ülemaailmsel ___tubakavabal___ ___päeval___ , 31. mail .	18851	1
õhtu	NOUN	Ade	Sing	teater	NOUN	Ill	Sing	õhtul teatrisse	Päeval läheksime Ahhaasse , ___õhtul___ ___teatrisse___ , siis käiksime loodusmuuseumis , Tartu Ülikoolis , ERMis ( ERM  Eesti Rahva Muuseum ) , botaanikaaias , Jaani kirikus , Inglisilla ja Kuradisilla juures , Aura veekeskuses !	19501	251
kesk_linn	NOUN	Ela	Sing	laulu_väljak	NOUN	All	Sing	kesklinnast lauluväljakule	Laulupidu algab rongkäiguga , kus kõik lauljad ja tantsijad liiguvad ___kesklinnast___ ___lauluväljakule___ .	20638	23
isa	NOUN	Abl	Sing	pärandus	NOUN	Tra	Sing	isalt päranduseks	Noor rüütel Hans von Risbiter saab ___isalt___ ___päranduseks___ reliikvialaeka Püha Brigita säilmetega , mida Pirita klooster soovib endale saada .	20737	469
film	NOUN	Ine	Sing	pea_roll	NOUN	Add	Sing	filmis pearolli	Helena Maria räägib Tähekesele , kuidas ta ___filmis___ ___pearolli___ sai .	20813	241
pere	NOUN	Ela	Sing	pere	NOUN	Ill	Sing	perest peresse	Selleks ajaks õpivad nad mõned laulud ja tantsud selgeks , maskeerivad end ning käivad ___perest___ ___peresse___ .	21281	277
pere	NOUN	Ine	Sing	jõulu_lau_päev	NOUN	Ade	Sing	peres jõululaupäeval	Millised kombed on õpetaja ___peres___ ___jõululaupäeval___ ?	21390	277
jõulu_õhtu	NOUN	Ade	Sing	laud	NOUN	Ade	Sing	jõuluõhtul laual	Millised toidud on ___jõuluõhtul___ ___laual___ ?	21392	13
jagamine	NOUN	Ade	Sing	veebruar	NOUN	Ine	Sing	jagamisel veebruaris	Parima kõne autor saab selle ette kanda riiklike teenemärkide ___jagamisel___ ___veebruaris___ .	21499	4
selg	NOUN	Add	Sing	proovimine	NOUN	Tra	Sing	selga proovimiseks	Anton , sa oled , terve kuhja jopesid ___selga___ ___proovimiseks___ võtnud .	21787	129
enamik	NOUN	Ade	Sing	nõude_pesu_masin	NOUN	Ade	Plur	Enamikul nõudepesumasinatel	___Enamikul___ ___nõudepesumasinatel___ on kuni viis pesemisprogrammi ja kuni kolm kuivatusprogrammi .	21948	42
iga	NOUN	Ine	Sing	sünni_päeva_laps	NOUN	All	Sing	eas sünnipäevalapsele	Mänguasjakauplustesse on müügile tulnud soodsa hinnaga väikestes ümmargustes akvaariumides kinkekalad - efektsed kingitused igas ___eas___ ___sünnipäevalapsele___ .	21982	13
sõbranna	NOUN	Ade	Sing	küla	NOUN	Ine	Sing	sõbrannal külas	Äkki õnnestuks vanaemal isegi Rootsis oma ___sõbrannal___ ___külas___ ära käia .	22428	47
loodus_kaun	NOUN	Ine	Sing	koht	NOUN	Ine	Sing	looduskaunis kohas	Talukohta meelitas teda ostma see , et talumaad asusid ___looduskaunis___ ___kohas___ : siin oli palju metsa , ilus veerohke jõgi , rohkesti aasaheinamaad .	22447	7
põlv	NOUN	Ade	Plur	marrask	NOUN	Ade	Sing	põlvedel marraskil	Sa kukkusid , kui sõitsid rulluiskudel ja nüüd on otsaesisel suur muhk ning nahk ___põlvedel___ ___marraskil___ .	22499	19
matk	NOUN	Ade	Sing	jalg	NOUN	Ine	Sing	matkal jalas	Sul olid ___matkal___ ___jalas___ ebasobivad jalatsid ja nüüd on kandadel villid .	22500	44
loodus_kaun	NOUN	Ine	Sing	koht	NOUN	Ine	Sing	looduskaunis kohas	Nende talu asub ___looduskaunis___ ___kohas___ .	22924	7
laev	NOUN	All	Plur	tule_torn	NOUN	Tra	Sing	laevadele tuletorniks	Arutati nii ja arutati naa , kuni otsustati ehitada nii kõrge torniga kirik , mis paistaks kaugele merele ja oleks ühtlasi ka ___laevadele___ ___tuletorniks___ .	23527	35
vana_linn	NOUN	Ela	Sing	lõuna	NOUN	Ine	Sing	vanalinnast lõunas	Vanalinnas on Olevimägi ja Sulevimägi , ___vanalinnast___ ___lõunas___ on Tõnismägi .	23595	26
sünni_päev	NOUN	Tra	Sing	sõber	NOUN	All	Sing	sünnipäevaks sõbrale	Mida sobib kinkida ___sünnipäevaks___ ___sõbrale___ ?	23691	164
lõpu_aktus	NOUN	Ade	Sing	esitamine	NOUN	Tra	Sing	lõpuaktusel esitamiseks	Tänukõne esimesele õpetajale põhikooli ___lõpuaktusel___ ___esitamiseks___ .	23843	5
lõpu_aktus	NOUN	Ade	Sing	esitamine	NOUN	Tra	Sing	lõpuaktusel esitamiseks	Tänukõne klassijuhatajale põhikooli ___lõpuaktusel___ ___esitamiseks___ .	23844	5
elu	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	eluks ajaks	Kõige lahedam mälestus on Valgeranna festival , mis jääb mulle ___eluks___ ___ajaks___ meelde .	23955	372
sugulane	NOUN	Ade	Plur	küla	NOUN	Ine	Sing	sugulastel külas	Me käisime kinos , orienteerumas , ___sugulastel___ ___külas___ ja lihtsalt veetsime aega vesteldes ja lauamänge mängides .	24123	39
kooli_töö	NOUN	Ine	Sing	tingimus	NOUN	Ade	Plur	koolitöös tingimustel	Vahetusopilasel on õigus osaleda ___koolitöös___ võrdsetel ___tingimustel___ iga teise vahetuskooli õpilasega .	24189	18
vahetus	NOUN	Ine	Sing	osalemine	NOUN	Tra	Sing	vahetuses osalemiseks	Vahetusopilasel on kohustus täita õigeaegselt ___vahetuses___ ___osalemiseks___ vajalikud dokumendid , sh lepingud ning tagasisideleht .	24191	12
pikkus	NOUN	Ine	Plur	programm	NOUN	Ine	Plur	pikkustes programmides	Kuna olen juba osalenud samalaadsetes ühe nädala ___pikkustes___ ___programmides___ välismaal , siis miks mitte proovida õpilasvahetusi ka Eestis .	24210	23
inimene	NOUN	Ade	Sing	igavus	NOUN	Tra	Sing	inimesel igavuseks	Nii ei jää ___inimesel___ ___igavuseks___ küll enam aega .	24301	1323
vastaja	NOUN	Ela	Plur	sotsiaal_meedia	NOUN	Ine	Sing	vastajatest sotsiaalmeedias	Seega viibib 64% ___vastajatest___ ___sotsiaalmeedias___ rohkem kui ühe tunni päevas .	24430	33
internet	NOUN	Ine	Sing	käimine	NOUN	Tra	Sing	internetis käimiseks	Mis vahendit kasutad peamiselt ___internetis___ ___käimiseks___ ?	24433	107
internet	NOUN	Ine	Sing	käimine	NOUN	Tra	Sing	internetis käimiseks	Mis vahendit kasutad peamiselt ___internetis___ ___käimiseks___ ?	24436	107
õppe_kava	NOUN	All	Plur	vastu_võtt	NOUN	Tra	Sing	õppekavadele vastuvõtuks	Kui suur peaks olema ülikooli poolt bakalaureuse- ja rakenduskõrgharidusõppe ___õppekavadele___ ___vastuvõtuks___ kehtestatav minimaalne punktisumma ehk lävend ?	25321	5
pargi_pink	NOUN	Ade	Sing	varju_vilu	NOUN	Ine	Sing	Pargipingil varjuvilus	___Pargipingil___ ___varjuvilus___ istunud Maali arvates peab poiss olema hooliv , sõbralik ja lahke .	25395	1
tüdruk	NOUN	All	Sing	lähenemine	NOUN	Tra	Sing	Tüdrukule lähenemiseks	___Tüdrukule___ ___lähenemiseks___ peab meelde tuletama kõik head kombed .	25398	285
keel	NOUN	Ine	Sing	komme	NOUN	Tra	Sing	keeles kombeks	Võõraid või kõrgemal positsioonil inimesi on eesti ___keeles___ ___kombeks___ teietada , kusjuures viisakam on kirjutada Teie suure algustähega .	25912	609
filmi_klubi	NOUN	Ine	Sing	esineja	NOUN	Ela	Plur	filmiklubis esinejatest	Saan aru ___filmiklubis___ ___esinejatest___ .	25942	4
orbiit	NOUN	All	Sing	laskmine	NOUN	Tra	Sing	orbiidile laskmiseks	Järgmine hinge kinni hoidmise hetk saabus aga vaid 45 minutit hiljem , mil oli õige aeg satelliidi ___orbiidile___ ___laskmiseks___ .	26058	4
eestlane	NOUN	Ela	Plur	tuttav	NOUN	Abl	Plur	eestlastest tuttavatelt	Ja lõpuks , kindlasti saad abi oma õpetajalt ja mõnikord ka ___eestlastest___ ___tuttavatelt___ .	26215	119
aja_kirjanik	NOUN	Tra	Sing	üli_kool	NOUN	Ine	Sing	ajakirjanikuks ülikoolis	Reet on õppinud ___ajakirjanikuks___ ___ülikoolis___ .	27164	15
tänav	NOUN	Ade	Sing	maja	NOUN	Ine	Sing	tänaval majas	Ma elan Elva linnas Tartu ___tänaval___ ___majas___ 7.	27229	145
