id,sentence,aux_head,aux,level,sub,sup,inf
451,Loogilist mõtlemist saab arendada matemaatikaülesandeid lahendades ja malet mängides.,arendama,saama,gümn,mõtlemist saab arendada lahendades .,0,1
453,"Keegi pole täiuslik, seega tuleb leppida tõsiasjaga, et sinagi pole andekas igal alal, sa võid enam-vähem kõiges ikka paremaks saada.",saama,võima,gümn,", sa võid kõiges ikka paremaks saada",0,1
457,"Igaühelt saab nõuda vaid seda, mida ta anda võib.",nõudma,saama,gümn,Igaühelt saab nõuda seda .,0,1
457,"Igaühelt saab nõuda vaid seda, mida ta anda võib.",andma,võima,gümn,", mida ta anda võib",0,1
458,Võim ei pea põhinema mõistusel.,põhinema,pidama,gümn,Võim ei pea põhinema mõistusel .,1,0
469,Interneti kaudu võite endale saada nii sõbra kui ka kallima.,saama,võima,gümn,Interneti võite endale saada sõbra .,0,1
472,"Mina olen kindlasti üks neist, sest võin tundidede kaupa Internetis surfata, mul on lihtsalt vastupandamatu iha lugeda tehnikauudiseid.",surfama,võima,gümn,", sest võin tundidede Internetis surfata mul",0,1
482,"Ilma lokaalvõrguta saaks üksteisele infot edastada ainult mälupulga, disketi või väljatrüki vahendusel.",edastama,saama,gümn,lokaalvõrguta saaks üksteisele infot edastada vahendusel .,0,1
486,Nii saab kõiki arvuteid ühendada globaalvõrkudesse.,ühendama,saama,gümn,Nii saab arvuteid ühendada globaalvõrkudesse .,0,1
487,Mida võib pidada arvutivõrgu kõige suuremaks saavutuseks?,pidama,võima,gümn,Mida võib pidada saavutuseks ?,0,1
489,Personaalarvutist saab meilida dokumente või graafikat teistele personaalarvutite kasutajatele.,meilima,saama,gümn,Personaalarvutist saab meilida dokumente kasutajatele .,0,1
491,Seejärel võib kohe saadetist lugeda ja sellele vastata.,lugema,võima,gümn,Seejärel võib kohe saadetist lugeda vastata .,0,1
495,"Ma tean, et arvutustehnika abil saab luua tehismaailma - võib tunda asju, mida tegelikkuses ei eksisteeri.",looma,saama,gümn,", et arvutustehnika saab luua tehismaailma tunda",0,1
495,"Ma tean, et arvutustehnika abil saab luua tehismaailma - võib tunda asju, mida tegelikkuses ei eksisteeri.",tundma,võima,gümn,- võib tunda asju,0,1
499,Seda võid aga kogeda vaid spetsiaalset kiivrit või prille kandes.,kogema,võima,gümn,Seda võid aga kogeda kandes .,0,1
506,"Ka kõige odavama arvutiga saab kirjutada, arvutada ja joonistada.",kirjutama,saama,gümn,arvutiga saab kirjutada arvutada joonistada .,0,1
508,"Arvutis võib töötada teksti ja tabelitega, hoida tohutul hulgal infot, töödelda andmeid, tegeleda arvutigraafikaga ja palju muud.",töötama,võima,gümn,Arvutis võib töötada teksti hoida töödelda tegeleda .,0,1
526,"Suurt mitte midagi, peab ainult tihti vastama trafaretsetele enda kohta käivatele küsimustele.",vastama,pidama,gümn,"midagi , peab tihti vastama küsimustele .",1,0
535,"Võib osta mõne lehekülgede tegemise programmi, näiteks Microsoft Frontpage’i, ja siis tuleb lihtsalt katsetada.",ostma,võima,gümn,Võib osta programmi tuleb .,0,1
540,Arvuteid ei saa kõikjale paigaldada.,paigaldama,saama,gümn,Arvuteid ei saa kõikjale paigaldada .,0,1
541,Tablett-arvuteid saavad endale lubada vaid väga rikkad patsiendid.,lubama,saama,gümn,Tablett-arvuteid saavad endale lubada patsiendid .,0,1
542,Praeahjus ei saa küpsetada igasugust liha.,küpsetama,saama,gümn,Praeahjus ei saa küpsetada liha .,0,1
546,Washingtonis Ameerika ajaloo muuseumis võib koridorides ja saalides näha ringi liikumas kummalist tegelast - robotgiidi Minerva.,nägema,võima,gümn,muuseumis võib koridorides näha liikumas .,0,1
566,Euroopa Liit peab arvestama juba 27 riigiga.,arvestama,pidama,gümn,Liit peab arvestama juba riigiga .,1,0
570,"Saja aasta sisse saame paigutada kaks verist maailmasõda ja veel terve hulga lokaalseid sõdu, kommunismi ja fašismi tõusu ja languse, siia mahub peaaegu kogu teadus- ja tehnikarevolutsioon, kogu modernistlik kunstimaailm, ka infoühiskonna sünd.",paigutama,saama,gümn,aasta saame paigutada maailmasõda mahub .,0,1
624,"Kino kui äri alguseks võib lugeda 1895. aastat, mil vennad Lumiere’id näitasid raha eest Pariisi rahvale ekraanil liikuvaid tummpilte.",lugema,võima,gümn,Kino võib lugeda aastat näitasid .,0,1
644,Ühissõidukis sõitmise eest ei pea maksma.,maksma,pidama,gümn,sõitmise ei pea maksma .,1,0
648,Mida võib leida Kuu pinnalt?,leidma,võima,gümn,Mida võib leida pinnalt ?,0,1
659,Mitme aasta pärast võivad kosmosereisid teoks saada?,saama,võima,gümn,aasta võivad kosmosereisid teoks saada ?,0,1
673,Hommikul võite leida oma laualt Versailles’ aiast nopitud lilleõie.,leidma,võima,gümn,Hommikul võite leida laualt lilleõie .,0,1
676,"P.S. Võib juhtuda, et ükski siin välja pakutud ajajärk ei sobi teile.",juhtuma,võima,gümn,P.S. Võib juhtuda sobi .,0,1
682,"Ja mitte ainult head teinud, vaid sellist head, millest peaks rahvas eeskuju võtma.",võtma,pidama,gümn,", millest peaks rahvas eeskuju võtma",1,0
696,Lapsepõlveunistus sai täidetud.,täitma,saama,gümn,Lapsepõlveunistus sai täidetud .,0,0
713,"Kas otsisid enne olümpiat ka mingeid taevalikke märke, et nüüd peaks hästi minema?",minema,pidama,gümn,", et nüüd peaks hästi minema",1,0
714,"Olen 2002. aasta kevadest koostööd teinud Thule Leega Leesojalt, kes mulle ütles, et mingid nõidused ei aita, kõik sõltub minust endast ning kinnitas, et vaid mina ise saan end aidata ja end tugevaks teha.",aitama,saama,gümn,", et mina saan end aidata teha",0,1
722,"Tuleb välja, et tippsport ongi nõnda vaimu räsiv, et üksi, ilma abilisteta hakkama ei saa?",hakkama,saama,gümn,", et üksi , abilisteta hakkama ei saa",1,0
745,"Unistad sa ajast, kui ei pea iga hetk kella jälgima?",jälgima,pidama,gümn,", kui ei pea hetk kella jälgima",1,0
779,Kuupäeva nihkumine võis toimuda umbes kuu aja piirides 8. veebruarist 7. märtsini.,toimuma,võima,gümn,nihkumine võis toimuda piirides veebruarist märtsini .,0,1
783,"Pikk liug oli hea õnne näitaja, sellel pidid kõige pikemad linad kasvama.",kasvama,pidama,gümn,", sellel pidid linad kasvama",1,0
789,"Seajalakontidele anti nimed või igaüks pani oma toodud kondi teiste sekka ja kelle kondi koer valis, see sai teada oma tulevase (siin: abikaasa) nime.",teadma,saama,gümn,", see sai teada nime",0,1
825,Esimese püha hommikul pidi ka päike kiikuma.,kiikuma,pidama,gümn,hommikul pidi ka päike kiikuma .,1,0
830,"Et virgaks saada ja jääda, pidi esimese püha hommikul vara tõusma.",tõusma,pidama,gümn,saada pidi hommikul vara tõusma .,1,0
833,"Tüdrukud lasksid poistel värvitud mune valida, sest värvide järgi sai teada poisi mõtteid.",teadma,saama,gümn,", sest värvide sai teada mõtteid",0,1
835,Külmad lihavõtted pidid tähendama külma kevadet.,tähendama,pidama,gümn,lihavõtted pidid tähendama kevadet .,1,0
836,"Eriti vaikselt pidi vanarahva kombel mööda saatma 2. novembri, sel päeval ei soovitatud ka tööd teha.",saatma,pidama,gümn,vaikselt pidi vanarahva mööda saatma novembri soovitatud .,1,0
843,"Kui me hingedepäeval kaugele kalmistule esivanemate haudadele küünlaid põletama sõita ei saa, siis võiks kodus välja otsida vana perekonnaalbumi ning meenutada, kes olid meie vaarisad ja vaaremad, kus nad elasid ja millega tegelesid.",sõitma,saama,gümn,"Kui me hingedepäeval kalmistule haudadele põletama sõita ei saa ,",0,1
843,"Kui me hingedepäeval kaugele kalmistule esivanemate haudadele küünlaid põletama sõita ei saa, siis võiks kodus välja otsida vana perekonnaalbumi ning meenutada, kes olid meie vaarisad ja vaaremad, kus nad elasid ja millega tegelesid.",otsima,võima,gümn,sõita siis võiks kodus välja otsida perekonnaalbumi meenutada .,0,1
844,Nii saaks ema või isa käest näiteks lapsepõlvemälestusigi välja meelitada.,meelitama,saama,gümn,Nii saaks ema lapsepõlvemälestusigi välja meelitada .,0,1
845,Õhtu võiks veeta igal juhul pereringis ja küünlavalgel.,veetma,võima,gümn,Õhtu võiks veeta juhul pereringis .,0,1
851,"Seda talu, kuhu mardisanti sisse ei lastud, pidi tabama viljaikaldus ja vaesus.",tabama,pidama,gümn,talu pidi tabama viljaikaldus .,1,0
856,Tööd ei tohtinud sel päeval teha.,tegema,tohtima,gümn,Tööd ei tohtinud päeval teha .,0,1
873,"Reeglina ilmnevad jalatsi vead hiljemalt ühe kuu jooksul, aga mõni varjatud tootmisdefekt võib üllatada ka mitu kuud hiljem.",üllatama,võima,gümn,", aga tootmisdefekt võib üllatada hiljem",0,1
878,"Kui teil on tekkinud probleemi lahendamisel arusaamatusi või küsimusi, võite pöörduda tarbijakaitseameti poole.",pöörduma,võima,gümn,tekkinud võite pöörduda tarbijakaitseameti .,0,1
894,Alates eelroast kuni magustoiduni saab valida erinevate küüslaugu tugevusastmete vahel.,valima,saama,gümn,eelroast saab valida tugevusastmete .,0,1
898,"Sümbioos ajaloost, õhustikust, meeldivast teenindusest ja loomulikult hurmavast toidust on see, mille tõttu ei tohiks jätta külastamata küüslaugurestorani Balthasar.",jätma,tohtima,gümn,", mille ei tohiks jätta küüslaugurestorani",0,1
911,Tellimusi saab esitada vastava Chopsticksi telefoninumbril.,esitama,saama,gümn,Tellimusi saab esitada telefoninumbril .,0,1
918,Telefoni teel pitsat ette tellides saate koju minnes selle kaasa võtta.,minema,saama,gümn,tellides saate koju minnes võtta .,0,0
928,"Klubisse sisenedes ostab iga külastaja endale Klondaik’i žetooni, millega võib klubis tasuda kõigi tellimuste eest.",tasuma,võima,gümn,", millega võib klubis tasuda tellimuste",0,1
940,Pubisse sisenenu võib valida 145 täiesti erineva istekoha vahel.,valima,võima,gümn,sisenenu võib valida istekoha .,0,1
964,"Nad tahavad teada, miks see juhtus ja kas nad saavad kuidagi aidata.",aitama,saama,gümn,ja kas nad saavad kuidagi aidata,0,1
966,Kui saaksid oma vanemate juures midagi muuta - mis see oleks?,muutma,saama,gümn,Kui saaksid vanemate midagi muuta mis ?,0,1
990,"Pead neile teada andma (ja kiiresti), et vajad nendepoolset toetust ja julgustust.",andma,pidama,gümn,Pead teada andma kiiresti vajad .,1,0
991,"Peaksid nendega rääkima, selle asemel et neid ignoreerida.",rääkima,pidama,gümn,Peaksid nendega rääkima ignoreerida .,1,0
997,Tõmbu neist natuke kaugemale - sa ei pea nendega oma kõige salajasemaid mõtteid jagama.,jagama,pidama,gümn,- sa ei pea nendega mõtteid jagama,1,0
1018,"Kui tulete koju kokkulepitud ajast hiljem, selgitage, et mitte keegi ei pea koju tulema kell üheksa õhtul.",tulema,pidama,gümn,", et keegi ei pea koju tulema kell õhtul",1,0
1044,Selle sedeli esitaja võib tasuta kallistada keda tahes igal ajal - alati võib korrata.,kallistama,võima,gümn,esitaja võib tasuta kallistada keda ajal korrata .,0,1
1044,Selle sedeli esitaja võib tasuta kallistada keda tahes igal ajal - alati võib korrata.,kordama,võima,gümn,- alati võib korrata,0,1
1090,Keda võime nimetada narkomaaniks?,nimetama,võima,gümn,Keda võime nimetada narkomaaniks ?,0,1
1100,Mida peaks Liina tegema?,tegema,pidama,gümn,Mida peaks Liina tegema ?,1,0
1134,Kellele võiks seda raamatut kinkida?,kinkima,võima,gümn,Kellele võiks raamatut kinkida ?,0,1
1143,Neid võib rohkem olla aga mina pole neist kuulnud.,kuulma,võima,gümn,Neid võib rohkem olla aga mina pole neist kuulnud .,0,0
1167,"Võin kätt südamele pannes öelda, et see oli mu parim suveelamus läbi aegade.",panema,võima,gümn,Võin kätt südamele pannes öelda .,0,0
1177,"Vahel tekkis tunne, et pole ühtegi kohta, kust võiks paadiga läbi mahtuda.",mahtuma,võima,gümn,", kust võiks paadiga läbi mahtuda",0,1
1178,"Lähemale jõudes võis aga märgata, et oksad on just meelega ära lõigatud nii, et kanuu läbi mahuks.",märkama,võima,gümn,jõudes võis aga märgata lõigatud .,0,1
1223,"Arvatakse, et oma tervise eest võivad hästi hoolitseda ainult rikkad.",hoolitsema,võima,gümn,", et tervise võivad hästi hoolitseda rikkad",0,1
1224,"Mõni ütleb, et raha eest tervist osta ei saa.",ostma,saama,gümn,", et raha tervist osta ei saa",0,1
1226,Kes võivad tegeleda ujumisega?,tegelema,võima,gümn,Kes võivad tegeleda ujumisega ?,0,1
1228,Mida peaks tegema enne ujumist?,tegema,pidama,gümn,Mida peaks tegema ujumist ?,1,0
1233,"Mida peaks suutma inimene, et tema kohta võiks öelda, et ta oskab ujuda?",suutma,pidama,gümn,Mida peaks suutma inimene öelda ?,1,0
1233,"Mida peaks suutma inimene, et tema kohta võiks öelda, et ta oskab ujuda?",ütlema,võima,gümn,", et tema võiks öelda oskab",0,1
1246,Minu arvates vanemad inimesed peavad istuma kodus.,istuma,pidama,gümn,arvates inimesed peavad istuma kodus .,1,0
1259,Siis saan rahulikult toas istuda.,istuma,saama,gümn,Siis saan rahulikult toas istuda .,0,1
1264,"Arvan, et õpilased peaksid tegelema spordiga vähemalt kolm korda nädalas.",tegelema,pidama,gümn,", et õpilased peaksid tegelema spordiga korda",1,0
1278,Loodusuurijad peavad pidevalt jälgima ohustatud ja haruldaste liikide olukorda ning kandma uued andmed raamatusse.,jälgima,pidama,gümn,Loodusuurijad peavad pidevalt jälgima olukorda kandma .,1,0
1292,"Praegu võime aga öelda, et loodus sõltub inimesest.",ütlema,võima,gümn,Praegu võime aga öelda sõltub .,0,1
1325,"Rähni pesaõõnsust kasutab ka üliharuldane lendorav, keda võib kohata Virumaa metsades.",kohtama,võima,gümn,", keda võib kohata metsades",0,1
1376,Ta võib tundide kaupa imetleda nii kõige uhkemat roosi kui ka kõige tagasihoidlikumat rohulible.,imetlema,võima,gümn,Ta võib tundide imetleda roosi .,0,1
1377,"Tema iseloomustamiseks võib veel öelda, et ta on kõigi vastu ääretult kena ning armastab tegutseda ja viibida värskes õhus.",ütlema,võima,gümn,iseloomustamiseks võib veel öelda kena .,0,1
1400,Aga ta peaks õppima natuke vähem torisema.,õppima,pidama,gümn,Aga ta peaks õppima torisema .,1,0
1417,"Ta ei tohi endasse sulguda ega nurka tõmbuda, vaid peab endasse uskuma.",sulguma,tohtima,gümn,Ta ei tohi endasse sulguda tõmbuda uskuma .,0,1
1417,"Ta ei tohi endasse sulguda ega nurka tõmbuda, vaid peab endasse uskuma.",uskuma,pidama,gümn,", vaid peab endasse uskuma",1,0
1418,"Ta kipub vahel kõiki inimesi heaks pidama, ehkki peaks meeles pidama, et nende hulgas on ka halbu.",pidama,pidama,gümn,", ehkki peaks meeles pidama nende",1,0
1426,"Inimest, kes ei leidnud enda lemmikut siit üles, võib pidada väga usaldavaks.",pidama,võima,gümn,Inimest võib pidada usaldavaks .,0,1
1438,Enne peaks aga ikka Eestis reisima - siin on ju nii ilusaid kohti.,reisima,pidama,gümn,Enne peaks aga ikka Eestis reisima siin .,1,0
1446,Külas saab veel isegi hobusega sõita.,sõitma,saama,gümn,Külas saab veel hobusega sõita .,0,1
1459,Kas te võiksite ekskursiooni kohta täpsemat infot anda?,andma,võima,gümn,Kas te võiksite ekskursiooni infot anda ?,0,1
1488,Mis erialasid võite omandada Tallinna Giidikeskuse erakõrgkoolis?,omandama,võima,gümn,erialasid võite omandada erakõrgkoolis ?,0,1
1489,Kes võivad selles kõrgkoolis õppida?,õppima,võima,gümn,Kes võivad kõrgkoolis õppida ?,0,1
1492,Mis dokumente peab esitama vastuvõtukomisjonile?,esitama,pidama,gümn,dokumente peab esitama vastuvõtukomisjonile ?,1,0
1499,Edasisel teel saavad huvilised teha vahepeatuse Siimusti savikaupade muuseumis ja keraamikatehase müügipunktis.,tegema,saama,gümn,teel saavad huvilised teha vahepeatuse .,0,1
1519,Toitu saab valida 12 firmaroa hulgast.,valima,saama,gümn,Toitu saab valida firmaroa .,0,1
1592,"Altja, Vergi ja Käsmu kalurikülas saab tutvuda Soome lahe ranniku looduse ja eluoluga.",tutvuma,saama,gümn,kalurikülas saab tutvuda ranniku .,0,1
1593,"Altja on iidne kaluriküla, kus saab maitsta eesti rahvustoite eelmise sajandi lõpu külakõrtsi miljöös ning jalutada Soome lahe rannal.",maitsma,saama,gümn,", kus saab maitsta rahvustoite lõpu miljöös jalutada",0,1
1621,"Jalgrattaid meil kaasas ei olnud, aga neid saime laenutada.",laenutama,saama,gümn,", aga neid saime laenutada",0,1
1623,Ei pea ju loodust ainult bussi- või autoaknast nautima.,nautima,pidama,gümn,Ei pea ju loodust bussi- nautima .,1,0
1656,"Midagi niisugust Eestist naljalt ei leia - topiste ja skelettide osakonnas võis näha kõike, alates hiire luukerest ja lõpetades mammutitopisega.",nägema,võima,gümn,- osakonnas võis näha kõike luukerest lõpetades,0,1
1665,"Põneva päeva saab veeta Vigelandi pargis, kus on imetlemiseks väljas 200 suurt skulptuuri, mis väljendavad kunstnik Gustav Vigelandi visiooni inimese elust kõigis selle faasides sünnist surmani.",veetma,saama,gümn,päeva saab veeta Vigelandi pargis .,0,1
1680,"Maakohtades, kust me mööda sõitsime, võis näha hobuseid.",nägema,võima,gümn,Maakohtades võis näha hobuseid .,0,1
1683,"Paleesse sissesaamisega võib tekkida raskusi, sest inimesi, kes seda näha ihkavad, on palju ja järjekorras võib minna mitu tundi.",tekkima,võima,gümn,sissesaamisega võib tekkida raskusi palju .,0,1
1683,"Paleesse sissesaamisega võib tekkida raskusi, sest inimesi, kes seda näha ihkavad, on palju ja järjekorras võib minna mitu tundi.",minema,võima,gümn,ja järjekorras võib minna tundi,0,1
1690,"Pärast seda sai linn näha veel mitmesuguseid raskusi, kuid sellest hoolimata on tänase päevani säilinud palju ajaloolisi detaile.",nägema,saama,gümn,seda sai linn näha raskusi säilinud .,0,1
1692,"Võiks tutvuda Citadelli kindlusega, tänaseks taastatud kuningliku palee ja gootiaegse Mattiase kirikuga ning jalutada mööda Korzo promenaadi, mis särab kaunilt õhtutuledes ja sumiseb välikohvikutes istuvatest inimestest.",tutvuma,võima,gümn,Võiks tutvuda Citadelli kindlusega jalutada .,0,1
1698,Mida võite pakkuda?,pakkuma,võima,gümn,Mida võite pakkuda ?,0,1
1735,"Vahel helistatakse ja öeldakse, et pean kohe intervjuule minema, aga mina pole üldse asjaga kursis.",minema,pidama,gümn,", et pean kohe intervjuule minema kursis",1,0
1737,Näiteks ükskord pidin minema Ameerika saatkonda ja see tekitas küll palju närvipinget.,minema,pidama,gümn,Näiteks ükskord pidin minema saatkonda tekitas .,1,0
1745,Millisele inimesele võiks teletöö sobida?,sobima,võima,gümn,inimesele võiks teletöö sobida ?,0,1
1783,Seega peab teie reklaam ajalehes või ajakirjas suutma mõne sekundiga lugejale mõju avaldada.,suutma,pidama,gümn,Seega peab reklaam suutma sekundiga avaldada .,1,0
1787,"Kui olete saanud igatsetud tähelepanu, peate suutma tarbijat lõpuni köita.",suutma,pidama,gümn,saanud peate suutma köita .,1,0
1816,Reklaamiga saab tutvuda meie koduleheküljel.,tutvuma,saama,gümn,Reklaamiga saab tutvuda koduleheküljel .,0,1
1817,Selle reklaami võib paigutada ajalehe esiküljele.,paigutama,võima,gümn,reklaami võib paigutada esiküljele .,0,1
1825,Reklaame ei saa usaldada.,usaldama,saama,gümn,Reklaame ei saa usaldada .,0,1
1840,Kuidas võis teie arvates tekkida selle reklaami idee?,tekkima,võima,gümn,Kuidas võis arvates tekkida idee ?,0,1
1868,"Kogu oluline info esitatakse loo algul, et lugeja võiks otsustada, kas asi huvitab teda sedavõrd, et edasi lugeda, või piisab talle juba pakutud informatsioonist.",otsustama,võima,gümn,", et lugeja võiks otsustada huvitab",0,1
1873,"Tähtis osa on ka kirjeldusel, mille kaudu saab luua üldmuljet ja tuua esile üksikasju.",looma,saama,gümn,", mille saab luua üldmuljet tuua",0,1
1874,"Kõlama peavad jääma tema sõnad ja teod, lugeja silme ees hakkab arenema kindla sõnumiga lugu.",jääma,pidama,gümn,Kõlama peavad jääma sõnad hakkab .,1,0
1933,"Mets, maa, õhk, vesi, loomad - seda kõike peab hoidma.",hoidma,pidama,gümn,Mets - seda kõike peab hoidma .,1,0
1983,Millal võivad hambad valutama hakata?,hakkama,võima,gümn,Millal võivad hambad valutama hakata ?,0,1
1993,"Unerohi on uinutava toimega ja seda võib arsti ettekirjutusel võtta siis, kui on unehäired.",võtma,võima,gümn,ja seda võib ettekirjutusel võtta siis unehäired,0,1
2010,"Oleks võinud juhtuda, et temast oleks saanud medõde.",juhtuma,võima,gümn,Oleks võinud juhtuda saanud .,0,1
2011,"Tal oli komme teiste eest otsustada, kuidas koos toimima peaks.",toimima,pidama,gümn,", kuidas koos toimima peaks",1,0
2071,Eksimuse pärast ei pea kohe karistama.,karistama,pidama,gümn,Eksimuse ei pea kohe karistama .,1,0
