id,verb,verb_compound,verb_feats,verb_is_aux,verb_deprel,sup_verb,sup_verb_feats,sup_verb_deprel,sentence,sentence_id
293,kiirustama,,"ps,aux,neg,pres,indic",1,root,kinnitama,"ps,aux,ill,sup",xcomp,WHO ei ___kiirusta___ ___kinnitama___ DigiDogi vaeguritoetusega doteeritavaks seadmeks .,200948
296,lubama,,"inf,mod",1,root,piirduma,"ps,aux,ill,sup",conj,Enamik institutsioonidest ei saa selliseid lahendusi aga endale ___lubada___ ning peavad ___piirduma___ üldkättesaadavate vahenditega .,200999
320,mõtlema,,"mod,neg,impf,imps,indic",1,root,avaldama,"ps,ill,sup,main",xcomp,Draama dialoog on ___mõeldud___ ___avaldama___ esteetilist mõju ning on kirjanduslikult töödeldud : selles peegelduvad autori loojaindividuaalsus ning ajastu- ja vooluomased stiilijooned .,201958
321,teadma,,"inf,main",1,conj,olema,"ps,ill,mod,sup",aux,"Mõnikord põimitakse tegelaste kõnelusse niisuguseid andmeid , mis on tavasuhtlemise loogika seisukohalt “ liiased ” , s.o. peaksid vestlejatele juba ___teada___ ___olema___ .",201967
360,saama,,"ps,aux,neg,cond,pres",0,acl:relcl,võitlema,"ps,ill,mod,sup",conj,"Pole personifitseeritud kurjust , kaovad süüdlased , kelle vastu ___saaks___ ja peaks ___võitlema___ , süžeelised kokkupõrked toimuvad otsekui möödaminnes ega riiva põhilisi vastuolusid .",203156
380,lõhkuma,,"ps,aux,ill,sup",0,xcomp,naerma,"ps,ill,sup,main",conj,"“ Teater teatris ” tungib esile neil ajaloojärkudel , mil kujunenud teatritraditsiooni tajutakse liigkanoonilise ja kammitsevana ning asutakse seda ___lõhkuma___ ja välja ___naerma___ .",203855
397,otsustama,,"aux,inf",1,acl:relcl,valima,"ps,ill,mod,sup",ccomp,"Joseph Nye on pakkunud välja seitse testi , millest juhindudes võiks ___otsustada___ , kas USA peaks mingil konkreetsel juhul ___valima___ kas unilateraalse või multilateraalse käitumisliini ( Nye 2001 / 2002 : 5 - 13 ) .",204138
400,nägema,,"af,pl,ps,aux,ps3,pres,indic",0,advcl,pürgima,"ps,aux,ill,sup",conj,"Vahemärkusena tuleb tõdeda , et see asjaolu võib sundida selliseid riike , juhul kui nad ___näevad___ USA välispoliitilistes eesmärkides enda jaoks ohtu , muidugi seda aktiivsemalt ___pürgima___ tuumarelva ja selle kohaletoimetamise vahendite hankimise poole ja asümmeetrilise sõjapidamisviiside omaksvõtu suunas ( terrorism , partisanisõda , küberrünnakud ) .",204167
412,kavandama,,"ps,aux,ill,sup",0,xcomp,viima,"ps,aux,ill,sup",conj,"Pühendaksin käesoleva ettekande oma seisukoha tutvustamisele , et millistena ma kujutan ette süsteemi elemente , mis oleks võimeline ___kavandama___ ja ellu ___viima___ reforme / majanduspoliitilisi uuendusi , milliseid rolle on vaja reformimise käigus täita ning millised võimalused on Eestimaa organisatsioonidel , ettevõtetel või üksikisikutel , et neis tellimustes osaleda .",204764
425,lootma,,"ps,aux,ill,sup",0,xcomp,loobuma,"ps,aux,ill,sup",conj,"Euroopa peab hakkama ___lootma___ oma ressurssidele ja ___loobuma___ mõttest , et USA päästab Euroopa majanduse ” ( 4 ) .",204929
429,saama,,"af,ps,sg,ps3,impf,main,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Tähelepanu võitmisega ___sai___ Mamma Mia kenasti ___hakkama___ .,205027
444,saama,,"af,pl,ps,aux,ps3,pres,indic",0,conj,hakkama,"ps,ill,sup,main",xcomp,"Samas võivad sotsiaaltöötaja huvid ja kliendi huvid teatud aspektides vastuollu sattuda ( nt on sotsiaaltöötaja alati huvitatud oma ametikoha säilimisest - vaga raske on leida sotsiaaltöötajat , kes ütleks , et tal ei ole piisavalt tööd või et tema hea töö tulemusena ___saavad___ varsti kõik tema kliendid iseseisvalt ___hakkama___ ) ning sellisel juhul on väga raske eeldada sotsiaaltöötajalt , et ta kliendi huve seadusloome protsessis",205270
445,saama,,"aux,inf",0,conj,hakkama,"ps,ill,mod,sup",xcomp,Nende klientidega edasi töötades me valjendame usku nende võimesse oma elu üle ühel päeval ise otsustada ja senisest paremini oma eluga ___hakkama___ ___saada___ .,205301
450,saama,,"inf,main",0,xcomp,hakkama,"ps,aux,ill,sup",xcomp,See võimaldab ekstravertsel ja sotsiaalsetel inimesel paremini ___hakkama___ ___saada___ .,205466
490,otsustama,,"inf,mod",0,xcomp,andma,"ps,aux,ill,sup",ccomp,"· ei suudeta ___otsustada___ , kas meediaõpetust peaks ___andma___ kooli enda õpetaja või peaks seda õpetama inimene väljastpoolt kooli .",206275
492,mõtlema,,"ps,ill,mod,sup",1,root,pakkuma,"ps,ill,sup,main",conj,"Kooli enda õpetaja rakendamisel peab koolijuht ___mõtlema___ õpetaja töökoormuse peale , ___pakkuma___ talle täiendkoolitusi , hoolitsema meediaõpetusalase inventari soetamise eest , kuid tema eelisteks on see , et õpetaja palkamise kulud on reeglina väiksemad , õpetaja tunneb hästi lapsi ja koolikorraldust , tal on võimalik õpilastega suhelda ka väljaspool tunniaega .",206276
493,mõtlema,,"ps,ill,mod,sup",1,root,hoolitsema,"ps,ill,sup,main",conj,"Kooli enda õpetaja rakendamisel peab koolijuht ___mõtlema___ õpetaja töökoormuse peale , pakkuma talle täiendkoolitusi , ___hoolitsema___ meediaõpetusalase inventari soetamise eest , kuid tema eelisteks on see , et õpetaja palkamise kulud on reeglina väiksemad , õpetaja tunneb hästi lapsi ja koolikorraldust , tal on võimalik õpilastega suhelda ka väljaspool tunniaega .",206276
509,saama,,"af,ps,sg,mod,ps1,pres,indic",0,ccomp,hakkama,"ps,ill,mod,sup",xcomp,"Avastati , et ___saan___ ___hakkama___ , olen vajalik .",206585
541,saama,,"ps,aux,past,partic",1,conj,hakkama,"ps,ill,sup,main",xcomp,"Enamasti siis , kui on toimunud midagi erakordset või skandaalset , näiteks kui naine on teinud katse meespoliitikutest kolleege mingil moel edastada - seega teinud poliitikas midagi “ enneolematut ” , või on , vastupidi , ___saanud___ ___hakkama___ mõne naeruväärse fopaaga .",207466
550,saama,,"af,ps,sg,ps3,main,pres,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Nüüd ___saab___ söögitegemisega juba ___hakkama___ .,207602
568,saama,,"ps,aux,ill,sup",1,parataxis,hakkama,"ps,ill,sup,main",xcomp,Peamised küsimused millega juhil tuleb vastavalt antud mudelile kokku puutuda ( sobiva juhtimisstiili valikuks ) on : millise ülesandega peavad alluvad ___hakkama___ ___saama___ ?,207862
616,saama,,"ps,main,past,partic",1,acl:relcl,tegema,"ps,aux,ill,sup",advcl,"Õpetaja küsib kogu klassilt , kes ei ___saanud___ aru , mida peab ___tegema___ .",208907
628,saama,,"af,ps,sg,aux,ps3,pres,indic",0,root,hakkama,"ps,aux,ill,sup",xcomp,Kuidas ema sinuga küll ___hakkama___ ___saab___ ?,208973
647,suutma,,"ps,neg,main,pres,indic",1,root,piirduma,"ps,ill,mod,sup",conj,"Kahjuks ei ___suuda___ ma näidetega katta kogu maailma ning pean ___piirduma___ Soome , USA , Austraalia , Kanada ja Inglismaa meediaõpetuse napi kirjeldamisega kõrvuti sissepõigetega Eesti praktikasse .",209840
655,saama,,"inf,main",0,csubj:cop,hakkama,"ps,ill,sup,main",xcomp,"Võib eeldada , et üleminekuperioodi alguses oli majanduslikult kergem ___hakkama___ ___saada___ kahe töölkäiva täiskasvanuga leibkondadel kui üksinda elavatel indiviididel .",210172
660,püüdma,,"af,aux,imps,pres,indic",0,root,vaikima,"ps,ill,sup,main",xcomp,Teisitimõtlejad ___püütakse___ ___vaikima___ ja alluma meelitada kohtade ja hüvede jagamisega .,210376
663,mõtlema,,"ps,ill,mod,sup",0,xcomp,töötama,"ps,ill,mod,sup",conj,"Nagu ka Veldre ( 2002 ) artiklis on mainitud , tuleb ette olukordi , kui töötaja on omaks võtnud ja endale selgeks teinud oma senised tööülesanded , siis on vahel raske panna teda uut moodi ___mõtlema___ ja ___töötama___ .",210527
674,nägema,,"inf,mod",0,xcomp,üritama,"ps,ill,mod,sup",xcomp,"Mida enam ajude liikumist maailmas jälgiti , seda enam hakati ___üritama___ ___näha___ ja ennustada milliseid tagajärgi see endaga kaasa võib tuua .",210788
714,eelistama,,"aux,inf",0,acl,võtma,"ps,ill,sup,main",conj,"Vanemaealistel on ka tendents ___eelistada___ piiratud ja täpselt määratletud töökohustustega töösuhete vorme , suureneb ka stabiilsuse tarvidus , töötaja on omaltpoolt valmis pikemaajaliseks töösuhteks ja ___võtma___ kohustusi , mis seovad teda organisatsiooniga ja on eelkõige vajalikud organisatsiooni jaoks .",211997
732,suutma,,"af,ps,sg,mod,ps3,impf,indic",0,acl:relcl,sündima,"mod,sup,imps",conj,"Mul piisas vaid mainida presidendi põhjapõtra ja kaamera lindistama lülitada , ning tulemuseks oli selgelt struktureeritud jutt sellest , kuidas presidendi põhjapõdra saatus on olnud traagiline : esimene emasloom kadus jäljetult koos vasikaga , alles jäi vaid üks noor ja nõrk vasikas , kes ___suutis___ imekombel suureks kasvada ning nüüd peaks iga hetk ___sünnitama___ oma esimese järglase .",212212
848,saama,,"af,ps,sg,mod,ps3,pres,indic",0,ccomp,hakkama,"ps,aux,ill,sup",xcomp,"Edu ennustamine kinnitas õpilase edustrateegiat : ta sai juurde enesekindlust ja tundis , et ___saab___ elus ___hakkama___ .",214558
865,nägema,,"af,ps,sg,ps1,main,pres,indic",0,root,andma,"ps,ill,mod,sup",ccomp,"Selle asemel ___näen___ , et esimene ( tõsisem ) uurimismeetodite kursus peaks ___andma___ ülevaate uuringute ülesehitamise ja läbiviimisega seotud üldistest küsimustest , tutvustama erinevaid metodoloogilisi lähenemisviise ning uuringustrateegiaid .",214742
869,suutma,,"ps,neg,cond,main,pres",0,ccomp,katma,"ps,ill,mod,sup",conj,"Ei ole realistlik ega ka vajalik eeldada , et üks õppejõud ___suudaks___ või peaks ___katma___ kõik erinevad uurimismeetoditega seonduvad aspektid detailselt ning suure asjatundlikkusega , kuid on oluline , et kõik kursused , mida me õppekava raames pakkuda suudame , lähtuks ühtsest arusaamast ( empiiriliste ) uurimuste olemusest ja ülesehitusest ning et järgnevad kursused lisaksid detaile eelnevalt kujundatud “ suurde ja üldisesse skeemi ” , mitte ei loetleks üksikuid ja üksteisega seostamata fakte .",214756
881,saama,,"ps,mod,neg,impf,indic",1,acl:relcl,hakkama,"ps,ill,mod,sup",xcomp,"Sellise proportsionaalse maksusüsteemi ja suhteliselt madala maksumäära valikul oli mitu põhjust : majandusalaste teadmiste tase , nõrk maksuamet , milline ei oleks ___hakkama___ ___saanud___ vähegi keerulisema maksusüsteemi korral maksu kogumisega , soov kaasa aidata kiiremale kapitali esialgsele akumulatsioonile elanikkonna väga madala sissetulekute taseme tingimustes jmt .",215183
889,saama,,"inf,main",0,xcomp,hakkama,"ps,aux,ill,sup",xcomp,"Usaldus teadlaste vastu , hea kohanemise muutustega ja positiivsed ootused tuleviku paremaks muutumise osas näitavad suhteliselt kõrget enesehinnangut ning samas ka inimeste potentsiaali ja valmidust edukalt ___hakkama___ ___saada___ .",215663
904,oskama,,"ps,ill,sup,main",1,root,kasutama,"ps,ill,mod,sup",conj,"Eesti keelt ei pea ___oskama___ ning aktiivselt ___kasutama___ mitte ainult Eesti eestlased , vaid kõik elanikud ning keelelises kasutuses olevad programmid .",222847
916,mõtlema,,"ps,ill,sup,main",0,parataxis,teadma,"ps,ill,mod,sup",conj,"Mentaalpredikaadid : ___mõtlema___ , ___teadma___ , soovima , tundma , nägema , kuulma",223181
917,mõtlema,,"ps,ill,sup,main",0,parataxis,soovima,"ps,ill,sup,main",conj,"Mentaalpredikaadid : ___mõtlema___ , teadma , ___soovima___ , tundma , nägema , kuulma",223181
918,mõtlema,,"ps,ill,sup,main",0,parataxis,tundma,"ps,aux,ill,sup",conj,"Mentaalpredikaadid : ___mõtlema___ , teadma , soovima , ___tundma___ , nägema , kuulma",223181
919,mõtlema,,"ps,ill,sup,main",0,parataxis,nägema,"ps,ill,mod,sup",conj,"Mentaalpredikaadid : ___mõtlema___ , teadma , soovima , tundma , ___nägema___ , kuulma",223181
920,mõtlema,,"ps,ill,sup,main",0,parataxis,kuulma,"ps,ill,sup,main",conj,"Mentaalpredikaadid : ___mõtlema___ , teadma , soovima , tundma , nägema , ___kuulma___",223181
933,nägema,,"aux,inf",1,conj,muretsema,"ps,aux,ill,sup",conj,"Projekti toetab riiklik programm “ Eesti keel ja rahvuskultuur ” ja selle esimesi osi saab ___näha___ võrguaadressil Mida suurem on korpus , seda vähem peab ___muretsema___ tema representatiivsuse pärast - suurest tekstihulgast võib iga kasutaja välja noppida need , mis vastavad just tema vajadustele .",223576
938,saama,,"ps,aux,ill,sup",0,conj,muutuma,"ps,ill,sup,main",xcomp,"Näide : sünohulk = jääma 3 , minema 5 , muutuma 1 , ___saama___ 1 - kellekski , millekski või mingisuguseks , senisest erinevaks , teistsuguseks või täiesti teiseks ___muutuma___ .",223622
947,saama,,"af,ps,sg,mod,ps3,impf,indic",0,root,saama,"ps,ill,sup,main",conj,"Näiteks lauses Peeter ___sai___ piletid kätte viis minutit enne etendust on sõnavorm sai loomulikult verbi ___saama___ vorm , mitte nimisõna sai .",223853
975,saama,,"af,ps,sg,mod,ps2,cond,pres",0,acl,muutma,"ps,aux,ill,sup",conj,"Selleks kohustab valitsusliit riigiasutusi maakonnakeskustes sisse seadma vastuvõtuajad , et inimesed ___saaksid___ põhilised teenused kätte , või ___muutma___ asjaajamised ( toimingud ) võimalikult lihtsaks ja elukohalähedaseks .",225494
997,saama,,"af,ps,sg,ps2,cond,main,pres",0,advcl,hakkama,"ps,aux,ill,sup",xcomp,"Meie õppejõudude pere tuli faktiliselt iseõppimise teel ümber kvalifitseerida , nii et nad ___saaksid___ tõelise infotöötlusega ___hakkama___ .",226560
1050,saama,,"inf,main",0,csubj,toetama,"ps,ill,sup,main",xcomp,"Ametiisikud kartsid raskusi ka Indias , kuid seal õnnestus valitsusel ___saada___ mehed peaaegu täielikult programmi ___toetama___ .",228579
1055,teadma,,"inf,main",1,root,olema,"ps,ill,sup,main",aux,"peab ___olema___ ___teada___ , kes ja millal vastava sissekande või tegevuse tegi",229094
1080,saama,,"ps,aux,ill,sup",1,root,lunastama,"ps,ill,mod,sup",conj,"Uute tehnoloogiate , nagu GRPS ( General Packet Radio Service ) ja EDGE ( Enhanced Data rates for GSM Evolution ) , turule jõudmisega ning uute WAP-protokolli spetsifikatsioonide ilmumisega peaks WAP-protokoll ___saama___ veelgi tuult tiibadesse ja ___lunastama___ paljud temale pandud ootused .",229815
1083,otsustama,,"inf,mod",0,xcomp,kuuluma,"ps,ill,mod,sup",ccomp,"Arvutiprogrammide kaitse küsimus kerkis päevakorrale 1980. aastatel , kui USA kohtus ei suudetud ___otsustada___ , millise õiguse alla peaksid need ___kuuluma___ .",229928
1084,saama,,"af,ps,sg,aux,ps2,impf,indic",0,root,hakkama,"ps,ill,sup,main",xcomp,Enne personaalarvutite ilmumist ___said___ patendi- ja autoriõigus oma ülesannetega suurepäraselt ___hakkama___ .,229977
1115,saama,,"inf,main",0,xcomp,kindlustama,"ps,aux,ill,sup",conj,"Seega peab selline projekt kasutama turvamudelit , mis ei lase klientarvuti ( te ) l ___saada___ käimasolevast ülesandest rohkem aimu , kui arvutuste teostamiseks hädapärast vaja , ja ___kindlustama___ , et ükski klientarvuti ei saaks tulemust ebasoodsalt mõjutada .",231017
1151,otsustama,,"aux,inf",1,acl:relcl,nägema,"ps,ill,sup,main",ccomp,"Seejuures peab leiduma veel üks eriline algoritm ( sedapuhku üks kõikide hinnatavate algoritmide jaoks ) , mille abil saame alati ___otsustada___ , kas hinnatav algoritm numbriga y peab algandmete a töötlemisel tulemuseni jõudmiseks “ ___nägema___ vaeva ” just täpselt t ühikut ( näiteks t töötakti ) või mitte .",232045
1179,saama,,"af,ps,cond,main,pres",1,ccomp,hakkama,"ps,ill,sup,main",xcomp,"Ideoloogia sarnaneb mõtlemisest tuntud fookuse printsiibiga - inimene suudab keskenduda hästi vaid ühele ülesandele korraga , mis ei tähenda , et ta samal ajal muude tegevustega ( nt. jalutamine mobiiliga rääkimise ajal ) talutavalt ___hakkama___ ei ___saaks___ .",233067
1195,teadma,,"mod,neg,imps,pres,indic",1,parataxis,tegema,"ps,ill,sup,main",ccomp,"2 ) puudub arendusstrateegia - s.o ei ___teata___ , mida peab ___tegema___ terviksüsteemini jõudmiseks .",233458
1196,saama,,"ps,aux,neg,cond,pres",0,csubj:cop,hakkama,"ps,ill,mod,sup",xcomp,"On mõeldamatu , et inimene kui füüsiline olend selle kõigega ilma kõrvalise abita ___hakkama___ ___saaks___ .",233470
1203,oskama,,"ps,aux,ill,sup",1,root,teadma,"ps,ill,sup,main",conj,"Et VO korral on pearõhk isearendamisel , kus eeltöö KF-i tehtavale üldistusele teeb ära VO ise , siis peab selle töötaja-arendaja soovitavalt ___oskama___ / ___teadma___ järgmist :",233579
1228,kartma,,"af,ps,sg,ps3,impf,main,indic",0,root,panema,"ps,aux,ill,sup",parataxis,"AEKi juhatus ___kartis___ , kui keeleuuendaja keeldub esinemast , siis “ peame oma putka pikkadeks aastateks kinni ___panema___ , sest tema autoriteet on väga suur ” ( Allari 1927 : 72 ) .",234632
1243,tahtma,,"af,ps,sg,ps1,main,pres,indic",0,ccomp,vaatama,"ps,aux,ill,sup",xcomp,6 Margit : ei et ma tahan et ma ___tahan___ etendust minna ___vaatama___ .,235280
1254,nägema,,"af,pl,ps,mod,ps1,pres,indic",0,root,seisma,"ps,ill,sup,main",ccomp,"___Näeme___ , et ühes muistses kultuuris pidi arusaam normist ___seisma___ selges vahekorras arusaamaga teadlikkusest ja teadmisest .",235522
1256,teadma,,"af,ps,sg,aux,ps3,pres,indic",0,root,hääldama,"ps,aux,ill,sup",ccomp,"Iga filoloog ___teab___ , et tüves leiduva i tõttu peaks siin lõppkonsonante ___hääldama___ peenendusega : paat ' , paad'i , paat'e ; moos ' , moos'i , moos'e ; kool ' , kool'i , kool'e ; saan ' , saan'i , saan'e .",235563
1257,pruukima,,"af,aux,imps,pres,indic",0,root,süvenema,"ps,ill,mod,sup",conj,"Seda mõistet ___pruugitakse___ tihtipeale valesti , vaevumata ___süvenema___ asja olemusse .",235587
1310,kavatsema,,"af,mod,imps,pres,indic",0,advcl,arutama,"ps,ill,sup,main",xcomp,"Huvitav on see , et 24. jaanuaril ei tea suur osalejaist ega koosolekut tutvustanud ajakirjanik Olga Pokornaja , et keeleseadust ___kavatsetakse___ ___arutama___ juba mõne päeva pärast .",236494
1319,oskama,,"inf,mod",1,parataxis,oskama,"ps,ill,mod,sup",conj,"Legendaarne haridusminister Ferdinand Eisen ei väsinud kordamast : “ Keeli võib ___osata___ , aga emakeelt peab ___oskama___ .",236667
1376,saama,,"af,ps,sg,ps3,impf,main,indic",0,ccomp,lööma,"ps,ill,sup,main",conj,"Muutus ühiskonnas tähendab , et varem ___sai___ igaüks töö- ja elukoha , polnud vaja vaeva näha , praegu peab igaüks ise läbi ___lööma___ .",238617
1380,saama,,"aux,inf",0,parataxis,hakkama,"ps,aux,ill,sup",xcomp,Muutus ameti vahetamise tähenduses on seotud hirmutava kujutlusega : kuidas ___hakkama___ ___saada___ ?,238695
1400,saama,,"af,ps,sg,aux,ps3,pres,indic",0,ccomp,hakkama,"ps,ill,sup,main",xcomp,"Esimese paari aastaga õpetaja kohaneb , vabaneb pingul olekust ja avastab , et ___saab___ õpetamisega ___hakkama___ , s.t on leidnud tasakaalu äärmuste - hea ja karm - vahel .",238833
1432,saama,,"af,ps,sg,ps3,main,pres,indic",0,advcl,hakkama,"ps,ill,mod,sup",xcomp,"Huvitav on see , et pole üheselt selge , kuidas skeem töötab , kuidas ta oma ülesandega ___hakkama___ ___saab___ .",246459
1452,saama,,"af,pl,ps,mod,ps2,pres,indic",0,advcl,hakkama,"ps,ill,mod,sup",xcomp,"Kui te nende miinimumülesannetega DE-meetodiga ___hakkama___ ___saate___ , siis tasub juba jõudu proovida rahvusvahelisel rindel .",246915
1476,nägema,,"ps,ill,sup,main",0,xcomp,käsitlema,"ps,ill,mod,sup",conj,"Võiks öelda , et kultuuri on hakatud ___nägema___ / ___käsitlema___ tänapäeval omalaadse metsiku maana .",247586
1485,saama,,"af,ps,sg,aux,ps3,pres,indic",0,root,matkama,"ps,ill,sup,main",conj,"Punktide eest ___saab___ laps kinno , teatrisse , ___matkama___ , jne .",247881
1487,tahtma,,"af,pl,ps,mod,ps3,pres,indic",0,acl:relcl,saama,"ps,aux,ill,sup",xcomp,"Tööl olev sotsiaalpedagoog otsustab laste arvu ja koha , kuid kõik punktilapsed , kes ___tahavad___ peavad väljas käia ___saama___ .",247893
1514,saama,,"ps,ill,sup,main",0,conj,hakkama,"ps,ill,mod,sup",xcomp,"Teisalt sunnivad järsud ühiskondlikud muutused jahimehi orienteeruma ka nendes suurtes muutustes ning nendega kuidagi ___hakkama___ ___saama___ , seda nii oma tegevuse majandusliku edu kui ka eluviisi üldise säilimise nimel .",248495
1515,saama,,"inf,main",0,conj,hakkama,"ps,ill,sup,main",xcomp,Üheaegselt püütakse säilitada arhailist kütieluviisi ning ___saada___ ___hakkama___ nõukogudejärgses vastuoluliselt arenevas ühiskonnas .,248571
1565,saama,,"aux,inf",0,xcomp,hakkama,"ps,aux,ill,sup",xcomp,Karismaatilised juhid suudavad selle pildi loomisega kõige edukamalt ___hakkama___ ___saada___ .,249490
1572,mõistma,,"ps,aux,ill,sup",0,xcomp,hindama,"ps,ill,mod,sup",conj,"Religiooni õppisid eesti noored kommunistliku surve all paremini ___mõistma___ , tõsisemalt ja kõrgemini ___hindama___ kui varem .",249553
1670,saama,,"af,ps,sg,mod,ps3,impf,indic",0,root,hakkama,"ps,ill,sup,main",xcomp,Kas tiiger ___sai___ oma ülesandega ___hakkama___ ?,251205
